OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
goldsmith;The workplace of a person who forges things out of gold, especially jewelry.;craft > goldsmith;business professional services > creative service;creative service
heath;A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae.;natural > vegetation > heath;landmarks outdoors;landmarks outdoors
post depot;Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.;amenity > public service > post depot;community government > government building > post office;post office
buffer stop;Stops the train at the end of a track. See buffer stop.;railway > infrastructure > buffer stop;travel transportation > train;train
logging;An area where some or all trees have been cut down;landuse > common landuse key values rural agricultural land > logging;business professional services > logging service;logging service
storage tank;A container that holds liquids or compressed gases.;man made > man made > storage tank;business professional services > storage facility;storage facility
motorway link;The link roads (sliproads/ramps) leading to/from a motorway from/to a motorway or lower class highway. Normally with the same motorway restrictions.;highway > link roads > motorway link;travel transportation > road;road
crane;A stationary, permanent crane.;man made > man made > crane;business professional services > industrial equipment supplier;industrial equipment supplier
cannon;A historic/retired cannon. Usually found on forts or battlefields.;historic > cannon;landmarks outdoors > historic protected site;historic protected site
mine;Location of historic underground mine workings for minerals such as coal or lead.;historic > mine;landmarks outdoors > historic protected site;historic protected site
reservoir;An artificial lake which may be used to store water. Usually formed by a dam over a natural water course.;water > reservoir;landmarks outdoors > reservoir;reservoir
place mourning;A room or building where families and friends can come, before the funeral, and view the body of the person who has died.;amenity > others > place mourning;business professional services > funeral home;funeral home
animal keeping;An area of land that is used to keep animals, particularly horses and livestock.;landuse > common landuse key values rural agricultural land > animal keeping;landmarks outdoors > farm;farm
sailmaker;A workshop of a sailmaker who cleans, repairs and makes sails.;craft > sailmaker;business professional services > repair service;repair service
arch;A rock arch naturally formed by erosion, with an opening underneath.;natural > geology related > arch;landmarks outdoors;landmarks outdoors
subdistrict;A subdistrict - a subdivision of a district used for administrative or other purposes.;place > administratively declared places > subdistrict;landmarks outdoors > states municipalities;states municipalities
orchard;intentional planting of trees or shrubs maintained for food production;landuse > common landuse key values rural agricultural land > orchard;landmarks outdoors > farm;farm
clockmaker;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;craft > clockmaker;business professional services > repair service;repair service
glassblower;A person or company that blows bottles or other objects from molten glass.;craft > glassblower;business professional services > creative service;creative service
brownfield;Describes land scheduled for new development where old buildings have been demolished and cleared;landuse > landuse key values > brownfield;business professional services > real estate service;real estate service
bakehouse;A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another node amenity=baking_oven and oven=wood_fired.;building > civicamenity > bakehouse;community government > government building;government building
bridge;A building used as a bridge (skyway). To map a gatehouse use building=gatehouse. See also bridge=yes for highway=*. Don't use this tag just for marking bridges (their outlines). For such purposes use man_made=bridge.;building > civicamenity > bridge;community government > government building;government building
clearcut;An area where all trees have been uniformly cut down.;man made > man made > clearcut;landmarks outdoors > forest;forest
hedge;A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area.;barrier > linear barriers > hedge;landmarks outdoors > tree;tree
railway;Area for railway use;landuse > landuse key values > railway;travel transportation > train;train
education;An area predominately used for educational purposes/facilities.;landuse > common landuse key values developed land > education;community government > education;education
fire extinguisher;An active fire protection device used to extinguish or control small fires, often in emergency situations.;emergency > firefighters > fire extinguisher;health medicine > emergency service;emergency service
shrubbery;An area of woody shrubbery that is actively maintained or pruned by humans. A slightly wilder look is also possible.;natural > vegetation > shrubbery;landmarks outdoors > garden;garden
tailings pond;A body of liquid or slurry used to store byproducts of mining operations.;man made > man made > tailings pond;business professional services > waste management service;waste management service
candlemaker;A person who makes candles or a manufactory where candles were made.;craft > candlemaker;business professional services > creative service;creative service
livestock;A building for housing/rising other livestock (apart from cows, horses or pigs covered above), or when the livestock changes.;building > agriculturalplant production > livestock;landmarks outdoors > farm;farm
debris;Debris blocking a road;barrier > access control highways > debris;travel transportation > road;road
pressurised;An artificial waterway where water flows in a closed space without air;waterway > manmade waterways > pressurised;landmarks outdoors;landmarks outdoors
mint;A place where coins and medals are hand crafted.;craft > mint;business professional services > creative service;creative service
historic;A historic administrative boundary (use judiciously).;boundary > boundary types > historic;landmarks outdoors > states municipalities;states municipalities
watermill;A mill driven by water power.;man made > man made > watermill;landmarks outdoors;landmarks outdoors
vineyard;A piece of land where grapes are grown.;landuse > common landuse key values rural agricultural land > vineyard;dining drinking > vineyard;vineyard
compressed air;A device to inflate tires/tyres (e.g. motorcar, bicycle);amenity > transportation > compressed air;business professional services > automotive service > tire repair shop;tire repair shop
converter;A device to convert power between alternating and direct current electrical power: often, but not only, over high voltage networks;power > converter;business professional services > electrical equipment supplier;electrical equipment supplier
windsock;An object that shows wind direction and speed.;aeroway > windsock;landmarks outdoors;landmarks outdoors
construction;For roads under construction. Use construction=* to hold the value for the completed road.;highway > lifecycle see also lifecycle prefixes > construction;travel transportation > road;road
census;A census-designated boundary delineating a statistical area, not necessarily observable on the ground.;boundary > boundary types > census;landmarks outdoors > states municipalities;states municipalities
lagoon;A body of shallow sea water or brackish water separated from the sea by a barrier.;water > lagoon;landmarks outdoors;landmarks outdoors
farm;A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn, �?� If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area;building > accommodation > farm;community government > residential building;residential building
tatami;A workplace or office of an artisan for tatami mat.;craft > tatami;business professional services > manufacturer;manufacturer
give box;A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.;amenity > facilities > give box;community government;community government
proposed;For planned roads, use with proposed=* and a value of the proposed highway value.;highway > lifecycle see also lifecycle prefixes > proposed;travel transportation > road;road
sty;A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms.;building > agriculturalplant production > sty;landmarks outdoors > farm;farm
pipeline;A major pipeline carrying gas, water, oil, etc.;man made > man made > pipeline;business professional services;business professional services
civic;A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.;building > civicamenity > civic;community government;community government
log;A log blocking access.;barrier > access control highways > log;travel transportation;travel transportation
military;For land areas owned/used by the military for whatever purpose;landuse > landuse key values > military;community government > government building > military;military
adit;A type of entrance to an underground mine which is horizontal or nearly horizontal.;man made > man made > adit;landmarks outdoors > tunnel;tunnel
courier;A courier delivery service, which is neither a post office nor a national post.;office > courier;business professional services > shipping freight material transportation service;shipping freight material transportation service
greenfield;Describes land scheduled for new development where there have been no buildings before. A greenfield is scheduled to turn into a construction site;landuse > landuse key values > greenfield;business professional services > real estate service;real estate service
low emission zone;A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.;boundary > boundary types > low emission zone;landmarks outdoors;landmarks outdoors
landfill;Place where waste is dumped.;landuse > landuse key values > landfill;community government > dump;dump
administrative;An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the admin_level=* combo tag.;boundary > boundary types > administrative;landmarks outdoors > states municipalities;states municipalities
mini roundabout;"Similar to roundabouts, but at the center there is either a painted circle or a fully traversable island. In case of an untraversable center island, junction=roundabout should be used.
Rendered as anti-clockwise by default direction=anticlockwise. To render clockwise add the tag direction=clockwise.";highway > highway features > mini roundabout;travel transportation > road;road
laboratory;A laboratory.;craft > laboratory;business professional services > laboratory;laboratory
silo;A storage container for bulk material, often grains such as corn or wheat.;man made > man made > silo;business professional services > storage facility;storage facility
tinsmith;A person who makes and repairs things made of light-coloured metal, particularly tinware.;craft > tinsmith;business professional services > creative service;creative service
gasometer;A large container in which natural gas or town gas is stored near atmospheric pressure at ambient temperatures;man made > man made > gasometer;business professional services > chemicals gasses manufacturer;chemicals gasses manufacturer
piano tuner;A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos. Most of them repair simple problems and some restore a whole piano.;craft > piano tuner;business professional services > repair service;repair service
region;Used both as a broad tag for geographic or historical areas with no clear boundary and for distinct administration areas (with specific boundaries) in some countries.;place > administratively declared places > region;landmarks outdoors > states municipalities;states municipalities
glacial erratic;A boulder deposited by a glacier.;geological > glacial erratic;landmarks outdoors > mountain;mountain
narrow gauge;Narrow-gauge passenger or freight train tracks. Narrow gauge railways can have mainline railway service like the Rhaetian Railway in Switzerland or can be a small light industrial railway. Use gauge=* to specify the actual width of rails in mm.;railway > tracks > narrow gauge;travel transportation > train;train
joiner;An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.;craft > joiner;business professional services > home improvement service > carpenter;carpenter
emergency bay;An area beside a highway where you can safely stop your car in case of breakdown or emergency.;highway > highway features > emergency bay;travel transportation > road;road
farmland;An area of farmland used for tillage (cereals, vegetables, oil plants, flowers).;landuse > common landuse key values rural agricultural land > farmland;landmarks outdoors > farm;farm
handrail;A rail designed to be grasped by the hand so as to provide stability or support.;barrier > linear barriers > handrail;landmarks outdoors;landmarks outdoors
outcrop;A place where the bedrock or superficial deposits previously covered under the soil have become locally exposed;geological > outcrop;landmarks outdoors;landmarks outdoors
terminal;"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.";power > terminal;business professional services > electrical equipment supplier;electrical equipment supplier
glaziery;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed.;craft > glaziery;business professional services > home improvement service > doors windows contractor;doors windows contractor
geyser;A spring characterized by intermittent discharge of water ejected turbulently and accompanied by steam;natural > water related > geyser;landmarks outdoors;landmarks outdoors
baby hatch;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.;amenity > healthcare > baby hatch;community government;community government
glacier;A permanent body of ice formed naturally from snow that is moving under its own weight.;natural > water related > glacier;landmarks outdoors;landmarks outdoors
siren;A loud noise maker, such as an air raid siren or a tornado siren.;emergency > structure > siren;health medicine > emergency service;emergency service
jersey barrier;A barrier made of heavy prefabricated blocks.;barrier > access control highways > jersey barrier;travel transportation;travel transportation
health;Health division boundaries. Some mappers use health_level=* instead of admin_level=* to specify level in the health system hierarchy.;boundary > boundary types > health;health medicine;health medicine
epigraph;A historic inscription on an object;historic > epigraph;landmarks outdoors > historic protected site;historic protected site
lavoir;A disused lavoir mapped for its historical value.;historic > lavoir;landmarks outdoors > historic protected site;historic protected site
plant nursery;intentional planting of plants maintaining for the production of new plants;landuse > common landuse key values rural agricultural land > plant nursery;business professional services > agriculture forestry service;agriculture forestry service
lifeguard;A place where a lifeguard is on duty;emergency > lifeguards > lifeguard;community government > government building > law enforcement public safety > rescue service;rescue service
ocean;The world's five main major oceanic divisions.;place > places > ocean;landmarks outdoors;landmarks outdoors
stove fitter;A workplace/office of a person / company who designs and builds stoves / tiled stoves.;craft > stove fitter;business professional services > home improvement service > kitchen remodeler;kitchen remodeler
distribution point;Equipment, often small boxes, allowing to directly connect up to 15 individuals or households to a single upstream local loop cable towards telecom exchanges;telecom > distribution point;business professional services > telecommunication service;telecommunication service
service device;Active equipment which deliver service to connected customers. It can be for instance a DSLAM, a telephone switch, or more recently an OLT for optical networks. It excludes amplifiers or repeaters installed along local loops or long distance lines.;telecom > service device;business professional services > telecommunication service;telecommunication service
dyke;a sheet of rock that fills a fracture of a pre-existing rock body or when standing alone looking like a man made wall;geological > dyke;landmarks outdoors;landmarks outdoors
religious administration;A religious administration boundary, eg. of a catholic diocese or parish. Use religion=* and denomination=* to specify the church to which the boundary applies. Some mappers use religious_level=* instead of admin_level=* to specify level in the church hierarchy.;boundary > boundary types > religious administration;community government > spiritual center;spiritual center
cable;An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables;power > cable;business professional services > electrical equipment supplier;electrical equipment supplier
lounger;An object for people to lie down.;amenity > others > lounger;landmarks outdoors;landmarks outdoors
telescope;Telescope: an instrument that aids in the observation of remote objects by collecting light or radio waves;man made > man made > telescope;community government > observatory;observatory
greenery;Used for any area covered with landscaping or decorative greenery, regardless of it being on a roundabout, along a street or in a park/garden, This tag has been used for vegetation that is hard to classify, either because its kind or because its diversity.;landuse > landuse key values > greenery;landmarks outdoors > garden;garden
ladder;A vertical or inclined set of steps or rungs intended for climbing or descending of a person with the help of hands.;highway > highway features > ladder;travel transportation;travel transportation
forest compartment;A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries.;boundary > boundary types > forest compartment;landmarks outdoors > forest;forest
compensator;A static power device used to ensure power quality and electrical network resilience.;power > compensator;business professional services > electrical equipment supplier;electrical equipment supplier
hampshire gate;A section of wire fence which can be removed temporarily.;barrier > access control highways > hampshire gate;business professional services > home improvement service > fence contractor;fence contractor
village green;A village green is a distinctive area of grassy public land in a village centre. Not a generic tag for urban greenery. It is a typical English term �?? defined separately from 'common land' under the Commons Registration Act 1965 and the Commons Act 2006.;landuse > landuse key values > village green;landmarks outdoors > states municipalities > village;village
giants kettle;A regular hole in a rock created by the rotation of stones in the bed of a stream.;geological > giants kettle;landmarks outdoors;landmarks outdoors
ditch;A ditch or a trench is a long and narrow man-made barrier dug in the ground to prevent access to the other side.;barrier > linear barriers > ditch;travel transportation;travel transportation
water well;A structural facility to access ground water, created by digging or drilling.;man made > man made > water well;landmarks outdoors > well;well
fence;A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction.;barrier > linear barriers > fence;business professional services > home improvement service > fence contractor;fence contractor
phone;A calling device can be used to tell on your current position in case of an emergency. Use with ref=NUMBER_ON_THE_SIGN;emergency > highway > phone;health medicine > emergency service;emergency service
obstacle course;A military obstacle course: a series of challenging physical obstructions an individual or team must navigate usually while being timed.;military > obstacle course;community government > government building > military;military
road;A road/way/street/motorway/etc. of unknown type. It can stand for anything ranging from a footpath to a motorway. This tag should only be used temporarily until the road/way/etc. has been properly surveyed. If you do know the road type, do not use this value, instead use one of the more specific highway=* values.;highway > special road types > road;travel transportation > road;road
wetland;A natural area subject to inundation or with waterlogged ground;natural > water related > wetland;landmarks outdoors;landmarks outdoors
meadow;A meadow or pasture: land primarily vegetated by grass and non-woody plants, mainly used for hay or grazing;landuse > common landuse key values rural agricultural land > meadow;landmarks outdoors > farm;farm
garages;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;building > cars > garages;travel transportation > parking;parking
plot;A named plot is a tract or parcel of land owned or meant to be owned by some owner.;place > populated settlements urban > plot;landmarks outdoors > states municipalities;states municipalities
survey point;A triangulation pillar, geodetic vertex, or other piece of fixed equipment used by topographers.;man made > man made > survey point;business professional services > geological service;geological service
gallows;Remains of a gallows.;historic > gallows;landmarks outdoors > historic protected site;historic protected site
tower;A tower is a free-standing structure which is higher than it is wide.;man made > man made > tower;community government;community government
crevasse;A large crack in a glacier;natural > water related > crevasse;landmarks outdoors;landmarks outdoors
tundra;Treeless cold climate habitat with open, low growing sedges, grasses, mosses and lichens.;natural > vegetation > tundra;landmarks outdoors;landmarks outdoors
ship;A decommissioned ship/submarine which stays in one place.;building > buildings > ship;landmarks outdoors;landmarks outdoors
kerb;A stone edging to a pavement or raised path.;barrier > linear barriers > kerb;travel transportation > road;road
bomb crater;A bomb crater;historic > bomb crater;landmarks outdoors > historic protected site;historic protected site
spikes;Spikes on the ground preventing unauthorized access.;barrier > access control highways > spikes;travel transportation;travel transportation
baking oven;An oven used for baking bread and similar, for example inside a building=bakehouse.;amenity > others > baking oven;dining drinking > bakery;bakery
emergency access point;Sign number which can be used to define your current position in case of an emergency. Use with ref=NUMBER_ON_THE_SIGN. See also emergency=access_point;highway > highway features > emergency access point;community government > government building > law enforcement public safety > rescue service;rescue service
water tower;Structure with a water tank at an altitude to increase pressure in water network;man made > man made > water tower;business professional services > water treatment service;water treatment service
transformer;A device for stepping up or down electric voltage. Large power transformers are typically located inside substations;power > transformer;business professional services > power plant;power plant
guard stone;A guard stone: a stone built onto or into the corner of a building or wall to prevent carriages from damaging the structure, often found on either side of an entrance to a laneway, or alongside a wall to protect it.;man made > man made > guard stone;community government;community government
escape;For runaway truck ramps, runaway truck lanes, emergency escape ramps, or truck arrester beds. It enables vehicles with braking failure to safely stop.;highway > special road types > escape;travel transportation > road;road
unconformity;A buried erosional surface separating two rock masses or strata of different ages;geological > unconformity;landmarks outdoors;landmarks outdoors
kiln;A thermally insulated chamber used for processes such as burning, hardening, drying, or smelting.;man made > man made > kiln;community government;community government
fault;A geological fault is a planar fracture or discontinuity in a volume of rock.;geological > fault;landmarks outdoors;landmarks outdoors
continent;One of the seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, South America.;place > places > continent;landmarks outdoors;landmarks outdoors
locomotive;A decommissioned locomotive which generally remains in one place;historic > locomotive;landmarks outdoors > historic protected site;historic protected site
bay;A power line within a substation which connects a circuit to a busbar.;power > line > bay;business professional services > electrical equipment supplier;electrical equipment supplier
residential;"Land where people reside; predominantly residential detached (single houses, grouped dwellings), or attached (apartments, flats, units) dwellings. For ""Mixed-Use"" areas where more than half of the land is residential, tag as residential.
See also: Land use and areas of natural land#Open questions and Land use and areas of natural land § Open questions";landuse > common landuse key values developed land > residential;community government > residential building;residential building
portal;A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.;power > portal;business professional services > electrical equipment supplier;electrical equipment supplier
monocline;Step-like fold in rock strata consisting of a zone of a dip comprised between ~65° and 90°;geological > monocline;landmarks outdoors;landmarks outdoors
rock glacier;Rock glaciers are mixtures of rock and ice that move slowly downhill when active;geological > rock glacier;landmarks outdoors;landmarks outdoors
crossing;Crosswalk that connects two sidewalks on the opposite side of the road. Often recognized by painted markings on the road, road sign or traffic lights. Use in combination with highway=footway or highway=path. Useful information is presence of tactile_paving=*, wheelchair=* suitability and kerb=* represented as a node on the crosswalk way.;highway > footway > crossing;travel transportation > road > intersection;intersection
communications tower;A huge tower for transmitting radio applications;man made > man made > communications tower;business professional services > telecommunication service;telecommunication service
video wall;A digital screen, typically constructed out of smaller LED panels.;man made > man made > video wall;business professional services > print tv radio outdoor advertising service;print tv radio outdoor advertising service
inverter;A device to convert power from direct current to alternating current.;power > inverter;business professional services > electrical equipment supplier;electrical equipment supplier
institutional;"Land used for institutional purposes, see Institution (disambiguation). Institutional land may contain one or more buildings like an office=government, office=ngo, office=association, amenity=social_facility and their associated infrastructure (car parks, service roads, yards and so-on) inside the area.
The meaning of this tag is ambiguous and unclear by some. Consider using another tag that better describes the object. For instance landuse=civic_admin.";landuse > common landuse key values developed land > institutional;community government;community government
salt pond;A place where salt (saline) water is evaporated to extract its salt.;landuse > common landuse key values waterbody > salt pond;landmarks outdoors;landmarks outdoors
track;Roads for mostly agricultural or forestry uses. To describe the quality of a track, see tracktype=*. Note: Although tracks are often rough with unpaved surfaces, this tag is not describing the quality of a road but its use. Consequently, if you want to tag a general use road, use one of the general highway values instead of track.;highway > special road types > track;travel transportation > road;road
slurry tank;A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).;building > agriculturalplant production > slurry tank;landmarks outdoors > farm;farm
stecak;Specifies megalithic gravestone from medieval Bosnia.;historic > stecak;landmarks outdoors > historic protected site;historic protected site
via ferrata;A via ferrata is a route equipped with fixed cables, stemples, ladders, and bridges in order to increase ease and security for climbers. These via ferrata require equipment : climbing harness, shock absorber and two short lengths of rope, but do not require a long rope as for climbing.;highway > paths > via ferrata;landmarks outdoors > rock climbing spot;rock climbing spot
switchgear;A switchgear, which comprises one or more busbar assemblies and a number of bays each connecting a circuit to the busbar assembly.;power > switchgear;business professional services > electrical equipment supplier;electrical equipment supplier
wall;A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision.;barrier > linear barriers > wall;landmarks outdoors > structure;structure
generator;A device which converts one form of energy to another, for example, an electrical generator.;power > generator;business professional services > electrical equipment supplier;electrical equipment supplier
scree;Unconsolidated angular stones formed by rockfall and weathering from adjacent rock faces.;natural > geology related > scree;landmarks outdoors > mountain;mountain
stone;A stone shaped or placed by man with historical value.;historic > stone;landmarks outdoors > historic protected site;historic protected site
line;High-voltage power lines used for power transmission, usually supported by towers or pylons;power > line;business professional services > electrical equipment supplier;electrical equipment supplier
crematorium;A place where dead human bodies are burnt;amenity > others > crematorium;business professional services > funeral home;funeral home
disused;A section of railway which is no longer used but where the track and infrastructure remains in place. The track is likely overgrown with endemic vegetation, but could be brought back into useful service with only minor effort.;railway > tracks > disused;travel transportation > train;train
special economic zone;A government-defined area in which business and trade laws are different.;boundary > boundary types > special economic zone;landmarks outdoors > states municipalities;states municipalities
connection;A free-standing electrical connection between two or more overhead wires.;power > connection;business professional services > electrical equipment supplier;electrical equipment supplier
academy;A training establishment for military service members;military > academy;community government > government building > military;military
unclassified;"The least important through roads in a country's system �?? i.e. minor roads of a lower classification than tertiary, but which serve a purpose other than access to properties. (Often link villages and hamlets.)
The word 'unclassified' is a historical artefact of the UK road system and does not mean that the classification is unknown; you can use highway=road for that.";highway > roads > unclassified;travel transportation > road;road
heliostat;A mirror of a heliostat device;power > heliostat;business professional services > electrical equipment supplier;electrical equipment supplier
dovecote;A place where doves are farmed or stored.;man made > man made > dovecote;landmarks outdoors > farm;farm
optical telegraph;Semaphore system;historic > optical telegraph;landmarks outdoors > historic protected site;historic protected site
moraine;Any accumulation of unconsolidated rock debris previously carried by a glacier.;geological > moraine;landmarks outdoors;landmarks outdoors
proposed;Railway being proposed but haven't started construction. Please see the proposed page regarding verifiability on the ground of this value.;railway > tracks > proposed;travel transportation > train;train
connection point;Last point of telecom local loops allowing direct connections towards a few households and subscribers;telecom > connection point;business professional services > telecommunication service;telecommunication service
beach resort;A managed beach, including within the boundary any associated facilities. Entry may also require payment of a fee.;leisure > beach resort;landmarks outdoors > beach;beach
motorway junction;Indicates a junction (UK) or exit (US). ref=* should be set to the exit number or junction identifier. (Some roads �?? e.g., the A14 �?? also carry junction numbers, so the tag may be encountered elsewhere despite its name);highway > highway features > motorway junction;travel transportation > road > intersection;intersection
wreck;A nautical craft that has been sunk or destroyed.;historic > wreck;landmarks outdoors > historic protected site;historic protected site
millstone;A large round stone used for grinding grain or other materials.;historic > millstone;landmarks outdoors > historic protected site;historic protected site
carport;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;building > cars > carport;travel transportation > parking;parking
fold;"Planar surfaces, such as sedimentary strata, that are bent or curved (""folded"")";geological > fold;landmarks outdoors;landmarks outdoors
mineshaft;A vertical tunnel into a mine where minerals are extracted.;man made > man made > mineshaft;business professional services > geological service;geological service
blowhole;An opening to a sea cave which has grown landwards resulting in blasts of water from the opening due to the wave action.;natural > water related > blowhole;landmarks outdoors > cave;cave
musical instrument;A craftsman creating musical instruments;craft > musical instrument;business professional services > creative service;creative service
stonemason;A place where rough pieces of rock are shaped into accurate geometrical shapes.;craft > stonemason;business professional services > creative service;creative service
tower;A tower used by lifeguard to watch and supervise swimmers in order to prevent drownings and other dangers.;emergency > lifeguards > tower;community government > government building > law enforcement public safety > rescue service;rescue service
bunker;A building reinforced to withstand attack;military > bunker;community government > government building > military;military
steps;For flights of steps (stairs) on footways. Use with step_count=* to indicate the number of steps;highway > paths > steps;travel transportation;travel transportation
tank;A decommissioned tank which generally remains in one place;historic > tank;landmarks outdoors > historic protected site;historic protected site
minor line;Minor power lines forming the distribution grid, usually carried by poles.;power > minor line;business professional services > electrical equipment supplier;electrical equipment supplier
grinding mill;A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.;craft > grinding mill;business professional services > factory;factory
minecart;A cart used to transport coal or ore from a mine.;historic > minecart;landmarks outdoors > historic protected site;historic protected site
pillory;A pillory.;historic > pillory;landmarks outdoors > historic protected site;historic protected site
flagpole;A long pole built to hold a flag;man made > man made > flagpole;community government > government building;government building
place;boundary=place is commonly used to map the boundaries of a place=*, when these boundaries can be defined but these are not administrative boundaries.;boundary > boundary types > place;landmarks outdoors > states municipalities;states municipalities
marker;A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone;boundary > boundary types > marker;landmarks outdoors > states municipalities;states municipalities
bunker silo;An open-sided structure without a roof that can be used with vehicles to fill and empty them;man made > man made > bunker silo;landmarks outdoors;landmarks outdoors
forest;A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways�?� but all the area within the boundaries are considered and managed as a single forest.;boundary > boundary types > forest;landmarks outdoors > forest;forest
mud;Area covered with mud: water saturated fine grained soil without significant plant growth.;natural > water related > mud;landmarks outdoors;landmarks outdoors
grit bin;A container that holds grit or a mixture of salt and grit.;amenity > transportation > grit bin;travel transportation > road;road
derail;A device used to prevent fouling of a rail track by unauthorized movements of trains or unattended rolling stock. See Derail (railroad).;railway > infrastructure > derail;travel transportation > train;train
forest;Managed forest or woodland plantation (Other languages). Some use this to map an area of trees rather than the use of the land. See Forest.;landuse > common landuse key values rural agricultural land > forest;landmarks outdoors > forest;forest
lapidary;lapidary: a gemcutter;craft > lapidary;business professional services > creative service;creative service
fumarole;A fumarole is an opening in a planet's crust, which emits steam and gases;natural > geology related > fumarole;landmarks outdoors;landmarks outdoors
aboriginal lands;A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.;boundary > boundary types > aboriginal lands;landmarks outdoors > states municipalities;states municipalities
lime kiln;Built structure which was used in the past to produce quicklime from limestone.;historic > lime kiln;landmarks outdoors > historic protected site;historic protected site
nuclear explosion site;Nuclear weapons test site;military > nuclear explosion site;community government > government building > military;military
sinkhole;A depression or hole in the ground caused by some form of collapse of the surface;geological > sinkhole;landmarks outdoors;landmarks outdoors
basin;"An area artificially graded to hold water.
Together with basin=* for stormwater/rainwater infiltration/detention/retention basins.
Other languages.";landuse > common landuse key values waterbody > basin;landmarks outdoors > reservoir;reservoir
pole;A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.;power > pole;business professional services > electrical equipment supplier;electrical equipment supplier
escape game;A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand.;leisure > escape game;arts entertainment > escape room;escape room
ruins;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;building > buildings > ruins;landmarks outdoors;landmarks outdoors
pa;A New Zealand Maori P�?;historic > pa;landmarks outdoors > historic protected site;historic protected site
columnar jointing;Several hexagonal columns of rock;geological > columnar jointing;landmarks outdoors;landmarks outdoors
defibrillator;Defibrillator (AED), an external and portable electronic device that diagnoses and can correct arrhythmia of the heart automatically.;emergency > medical rescue > defibrillator;health medicine > emergency service;emergency service
offshore platform;Offshore platform, oil platform or offshore drilling rig;man made > man made > offshore platform;business professional services > petroleum supplier;petroleum supplier
mast;A mast is a vertical structure built to hold, for example, antennas.;man made > man made > mast;community government;community government
paddy;An area of land where the surface and shape of the land is made suitable for growing rice.;landuse > common landuse key values rural agricultural land > paddy;landmarks outdoors > farm;farm
tower;A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.;power > tower;business professional services > electrical equipment supplier;electrical equipment supplier
hazard;A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.;boundary > boundary types > hazard;landmarks outdoors;landmarks outdoors
column;A column used to support a structure or for decoration.;man made > man made > column;landmarks outdoors > structure;structure
timezone;Boundaries of time zone;boundary > boundary types > timezone;landmarks outdoors > states municipalities;states municipalities
grass;An area of mown and managed grass not otherwise covered by a more specific tag. Some view this as not a landuse, see the main page landuse=grass for discussion.;landuse > landuse key values > grass;landmarks outdoors;landmarks outdoors
