Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
motorcycle repair shop;3;business and professional services;automotive service;motorcycle repair shop;;;;A facility for maintaining and repairing motorcycles.
irani cafe;4;dining and drinking;restaurant;indian restaurant;irani cafe;;;A café serving Iranian-style drinks and food.
japanese restaurant;4;dining and drinking;restaurant;asian restaurant;japanese restaurant;;;A restaurant serving Japanese cuisine.
deli;3;dining and drinking;restaurant;deli;;;;A store selling cold cuts, sandwiches, and specialty foods.
luggage store;2;retail;luggage store;;;;;A retail shop selling bags, suitcases, and travel accessories.
waterfall;2;landmarks and outdoors;waterfall;;;;;A natural or artificial feature where water flows over a vertical drop.
country club;2;arts and entertainment;country club;;;;;A private club offering recreational and social activities, often including golf or tennis.
hockey stadium;3;arts and entertainment;stadium;hockey stadium;;;;A stadium designed for hockey games.
bowling green;2;sports and recreation;bowling green;;;;;A lawn or facility for playing lawn bowling.
vacation rental;3;travel and transportation;lodging;vacation rental;;;;A property rented out to travelers for short-term stays.
platform;2;travel and transportation;platform;;;;;A raised surface or area for standing, waiting, or boarding transport.
gay bar;3;dining and drinking;bar;gay bar;;;;A bar catering primarily to the LGBTQ+ community.
molecular gastronomy restaurant;3;dining and drinking;restaurant;molecular gastronomy restaurant;;;;A restaurant applying scientific techniques to cooking for innovative dishes.
cable car;2;travel and transportation;cable car;;;;;A vehicle suspended and pulled along cables, often for tourism or transport in mountains.
business and professional services;1;business and professional services;;;;;;Firms providing specialized services to businesses or professionals.
urologist;3;health and medicine;physician;urologist;;;;A medical doctor specializing in urinary tract and male reproductive health.
government building;2;community and government;government building;;;;;A building used by government offices or agencies.
miscellaneous store;2;retail;miscellaneous store;;;;;A retail shop selling a variety of unrelated items.
piano bar;3;dining and drinking;bar;piano bar;;;;A bar featuring live piano music for entertainment.
taco restaurant;4;dining and drinking;restaurant;mexican restaurant;taco restaurant;;;A restaurant specializing in tacos and Mexican cuisine.
music school;3;community and government;education;music school;;;;An institution providing instruction in music and performance.
towing service;3;business and professional services;automotive service;towing service;;;;A service for moving disabled or illegally parked vehicles.
track;3;sports and recreation;running and track;track;;;;A designated path or course for running, racing, or athletics.
motorcycle dealership;3;retail;automotive retail;motorcycle dealership;;;;A business selling new or used motorcycles.
chocolate store;3;retail;food and beverage retail;chocolate store;;;;A shop specializing in chocolate and confectionery.
orthopedic surgeon;3;health and medicine;physician;orthopedic surgeon;;;;A doctor specializing in musculoskeletal system surgery.
direct mail and email marketing service;2;business and professional services;direct mail and email marketing service;;;;;A business providing marketing through mail and electronic communication.
catalan restaurant;4;dining and drinking;restaurant;french restaurant;catalan restaurant;;;A restaurant serving cuisine from Catalonia, Spain.
charter bus;3;travel and transportation;transportation service;charter bus;;;;A bus service rented for private transportation.
sauna;2;sports and recreation;sauna;;;;;A small room or building designed for heat sessions and relaxation.
söğüş place;4;dining and drinking;restaurant;turkish restaurant;söğüş place;;;A restaurant specializing in Turkish cold meat dishes.
community college;4;community and government;education;college and university;community college;;;A two-year educational institution offering associate degrees and vocational training.
pathologist;3;health and medicine;physician;pathologist;;;;A medical professional specializing in disease diagnosis via tissue and lab analysis.
cafe, coffee, and tea house;2;dining and drinking;cafe, coffee, and tea house;;;;;A place serving coffee, tea, and light refreshments.
college tennis court;4;community and government;education;college and university;college tennis court;;;A tennis court located on a college campus.
hotel pool;4;travel and transportation;lodging;hotel;hotel pool;;;A swimming pool located at a hotel for guest use.
tree;2;landmarks and outdoors;tree;;;;;A perennial plant with a trunk, branches, and leaves.
turkish home cooking restaurant;4;dining and drinking;restaurant;turkish restaurant;turkish home cooking restaurant;;;A restaurant serving traditional Turkish homemade dishes.
indie theater;3;arts and entertainment;performing arts venue;indie theater;;;;A small independent movie or performance theater.
education;2;community and government;education;;;;;Institutions or services providing teaching and learning.
rajasthani restaurant;4;dining and drinking;restaurant;indian restaurant;rajasthani restaurant;;;A restaurant serving cuisine from Rajasthan, India.
party supply store;2;retail;party supply store;;;;;A retail shop selling decorations, balloons, and items for celebrations.
outdoor event space;2;business and professional services;outdoor event space;;;;;A location for hosting events outdoors.
business and strategy consulting office;3;business and professional services;office;business and strategy consulting office;;;;An office providing advice on business and strategic planning.
law office;3;business and professional services;legal service;law office;;;;A professional office providing legal services.
shawarma restaurant;4;dining and drinking;restaurant;middle eastern restaurant;shawarma restaurant;;;A restaurant specializing in shawarma, a Middle Eastern meat dish.
town;3;landmarks and outdoors;states and municipalities;town;;;;A populated area larger than a village but smaller than a city.
ukrainian restaurant;3;dining and drinking;restaurant;ukrainian restaurant;;;;A restaurant serving cuisine from Ukraine.
tapiocaria;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;tapiocaria;A restaurant or shop specializing in tapioca-based dishes, often Brazilian.
monastery;3;community and government;spiritual center;monastery;;;;A religious community or building where monks or nuns live.
ch'ti restaurant;4;dining and drinking;restaurant;french restaurant;ch'ti restaurant;;;A restaurant serving cuisine from the Ch'ti region of France.
science museum;3;arts and entertainment;museum;science museum;;;;A museum exhibiting scientific concepts, history, and technology.
military;3;community and government;government building;military;;;;An institution organized for defense and warfare.
gymnastics center;3;sports and recreation;gymnastics;gymnastics center;;;;A facility providing gymnastics training and equipment.
college bookstore;4;community and government;education;college and university;college bookstore;;;A retail shop on a college campus selling textbooks and supplies.
fireworks store;2;retail;fireworks store;;;;;A retail shop selling fireworks and pyrotechnic items.
wholesaler;2;business and professional services;wholesaler;;;;;A business selling goods in large quantities, typically to retailers.
hardware store;2;retail;hardware store;;;;;A retail shop selling tools, building supplies, and home improvement items.
maternity clinic;2;health and medicine;maternity clinic;;;;;A medical clinic providing care for pregnant women and newborns.
accounting and bookkeeping service;3;business and professional services;financial service;accounting and bookkeeping service;;;;A business offering financial record keeping and accounting services.
mattress store;3;retail;furniture and home store;mattress store;;;;A retail shop selling mattresses and sleep products.
balinese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;balinese restaurant;;A restaurant serving cuisine from Bali, Indonesia.
hair removal service;3;business and professional services;health and beauty service;hair removal service;;;;A business providing hair removal treatments such as waxing or laser.
outlet store;2;retail;outlet store;;;;;A retail store selling discounted brand-name products.
amusement park;2;arts and entertainment;amusement park;;;;;A park featuring rides, games, and entertainment for recreation.
sculpture garden;2;landmarks and outdoors;sculpture garden;;;;;An outdoor garden displaying sculptures and artworks.
wedding hall;2;business and professional services;wedding hall;;;;;A venue used for hosting wedding ceremonies and receptions.
airport lounge;4;travel and transportation;transport hub;airport;airport lounge;;;A private area at an airport providing comfort and amenities to travelers.
middle eastern restaurant;3;dining and drinking;restaurant;middle eastern restaurant;;;;A restaurant serving cuisine from Middle Eastern countries.
carpet store;3;retail;furniture and home store;carpet store;;;;A retail shop selling carpets and rugs.
coworking space;3;business and professional services;office;coworking space;;;;A shared office space used by individuals or small companies.
salad restaurant;3;dining and drinking;restaurant;salad restaurant;;;;A restaurant specializing in salads and fresh vegetables.
butcher;3;retail;food and beverage retail;butcher;;;;A shop or professional cutting and selling meat.
building and land surveyor;3;business and professional services;real estate service;building and land surveyor;;;;A professional who measures and maps land and structures.
vietnamese restaurant;4;dining and drinking;restaurant;asian restaurant;vietnamese restaurant;;;A restaurant serving cuisine from Vietnam.
healthcare clinic;2;health and medicine;healthcare clinic;;;;;A facility providing medical care and health services.
jain restaurant;4;dining and drinking;restaurant;indian restaurant;jain restaurant;;;A restaurant serving Jain cuisine, typically vegetarian.
conference;2;event;conference;;;;;An organized meeting or event for discussion or presentations.
arcade;2;arts and entertainment;arcade;;;;;A venue with coin-operated games and entertainment.
beach;2;landmarks and outdoors;beach;;;;;A shoreline area for recreation and leisure.
photography lab;3;business and professional services;photography service;photography lab;;;;A facility developing and printing photographs.
scandinavian restaurant;3;dining and drinking;restaurant;scandinavian restaurant;;;;A restaurant serving cuisine from Scandinavian countries.
betting shop;2;retail;betting shop;;;;;A retail outlet for placing bets on sports or events.
preschool;3;community and government;education;preschool;;;;An educational institution for children before elementary school.
puerto rican restaurant;4;dining and drinking;restaurant;caribbean restaurant;puerto rican restaurant;;;A restaurant serving cuisine from Puerto Rico.
public bathroom;2;community and government;public bathroom;;;;;A restroom facility accessible to the public.
sunglasses store;3;retail;fashion retail;sunglasses store;;;;A retail shop selling sunglasses and eyewear.
aosta restaurant;4;dining and drinking;restaurant;italian restaurant;aosta restaurant;;;A restaurant serving cuisine from the Aosta region of Italy.
pastry shop;3;dining and drinking;dessert shop;pastry shop;;;;A bakery specializing in pastries and desserts.
advertising agency;2;business and professional services;advertising agency;;;;;A business providing marketing and advertising services.
atm;4;business and professional services;financial service;banking and finance;atm;;;An automated teller machine for cash withdrawals and banking.
yoga studio;3;sports and recreation;gym and studio;yoga studio;;;;A facility offering yoga classes and instruction.
armenian restaurant;3;dining and drinking;restaurant;armenian restaurant;;;;A restaurant serving cuisine from Armenia.
appraiser;2;business and professional services;appraiser;;;;;A professional who evaluates property or items to determine value.
ophthalmologist;3;health and medicine;physician;ophthalmologist;;;;A medical doctor specializing in eye care and vision.
nail salon;3;business and professional services;health and beauty service;nail salon;;;;A salon providing manicures, pedicures, and nail treatments.
javanese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;javanese restaurant;;A restaurant serving cuisine from Java, Indonesia.
currywurst joint;4;dining and drinking;restaurant;german restaurant;currywurst joint;;;A restaurant specializing in currywurst, a German sausage dish.
hungarian restaurant;3;dining and drinking;restaurant;hungarian restaurant;;;;A restaurant serving cuisine from Hungary.
boat launch;2;landmarks and outdoors;boat launch;;;;;A location where boats can be launched into water.
social services organization;3;community and government;organization;social services organization;;;;An organization providing social support and community services.
bathroom contractor;3;business and professional services;home improvement service;bathroom contractor;;;;A contractor specializing in bathroom renovations and installations.
college baseball diamond;4;community and government;education;college and university;college baseball diamond;;;A baseball field on a college campus.
champagne bar;3;dining and drinking;bar;champagne bar;;;;A bar specializing in champagne and sparkling wine.
okonomiyaki restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;okonomiyaki restaurant;;A restaurant serving okonomiyaki, a Japanese savory pancake.
tiki bar;3;dining and drinking;bar;tiki bar;;;;A bar serving tropical-themed cocktails and drinks.
art restoration service;2;business and professional services;art restoration service;;;;;A business restoring or preserving artwork and antiques.
dongbei restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;dongbei restaurant;;A restaurant serving cuisine from China's Dongbei region.
light rail station;3;travel and transportation;transport hub;light rail station;;;;A stop or station for a light rail transit system.
general contractor;3;business and professional services;home improvement service;general contractor;;;;A professional overseeing construction projects.
piadineria;4;dining and drinking;restaurant;italian restaurant;piadineria;;;A restaurant specializing in piadina, an Italian flatbread.
whisky bar;3;dining and drinking;bar;whisky bar;;;;A bar specializing in whisky and related beverages.
motel;3;travel and transportation;lodging;motel;;;;A roadside hotel offering lodging, often with parking access.
fish and chips shop;3;dining and drinking;restaurant;fish and chips shop;;;;A restaurant or takeout serving fish and chips.
blood bank;2;health and medicine;blood bank;;;;;A facility collecting, storing, and distributing blood for medical use.
lighthouse;2;landmarks and outdoors;lighthouse;;;;;A tower with a light guiding ships at sea.
eyecare store;2;retail;eyecare store;;;;;A retail shop selling glasses, contact lenses, and optical services.
maharashtrian restaurant;4;dining and drinking;restaurant;indian restaurant;maharashtrian restaurant;;;A restaurant serving cuisine from Maharashtra, India.
dive bar;3;dining and drinking;bar;dive bar;;;;A casual, often small bar with inexpensive drinks.
kitchen remodeler;3;business and professional services;home improvement service;kitchen remodeler;;;;A contractor specializing in kitchen renovations.
golf course;3;sports and recreation;golf;golf course;;;;A designated area for playing golf.
child care service;2;business and professional services;child care service;;;;;A service providing care and supervision for children.
gym and studio;2;sports and recreation;gym and studio;;;;;A facility offering fitness equipment and exercise classes.
locksmith;2;business and professional services;locksmith;;;;;A professional providing lock and key services.
commercial real estate developer;3;business and professional services;real estate service;commercial real estate developer;;;;A company developing commercial property for business use.
college hockey rink;4;community and government;education;college and university;college hockey rink;;;An ice rink used by a college hockey team.
taverna;4;dining and drinking;restaurant;greek restaurant;taverna;;;A small restaurant or pub, typically Mediterranean-style.
mobile company;2;business and professional services;mobile company;;;;;A business providing mobile phone services or products.
ski chalet;3;sports and recreation;snow sports;ski chalet;;;;A lodging building near ski areas for accommodation.
bike trail;2;landmarks and outdoors;bike trail;;;;;A path or route designated for cycling.
refrigeration and ice supplier;2;business and professional services;refrigeration and ice supplier;;;;;A business providing refrigeration equipment and ice products.
udon restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;udon restaurant;;A restaurant serving udon, thick Japanese wheat noodles.
city;3;landmarks and outdoors;states and municipalities;city;;;;A large and densely populated urban area.
labor union;3;community and government;organization;labor union;;;;An organization representing workers in negotiations and rights advocacy.
go kart track;2;arts and entertainment;go kart track;;;;;A circuit designed for racing go-karts.
framing store;2;retail;framing store;;;;;A shop providing picture framing services and materials.
sports bar;3;dining and drinking;bar;sports bar;;;;A bar featuring sports broadcasts and related entertainment.
public art;2;arts and entertainment;public art;;;;;Artworks displayed in public spaces.
snow sports;2;sports and recreation;snow sports;;;;;Activities such as skiing, snowboarding, and sledding on snow.
antique store;2;retail;antique store;;;;;A shop selling collectible or historical items.
empada house;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;empada house;A restaurant or shop specializing in empadas, a type of savory pastry.
women's store;3;retail;fashion retail;women's store;;;;A retail shop selling clothing, accessories, or products for women.
fujian restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;fujian restaurant;;A restaurant serving cuisine from Fujian, China.
baby store;2;retail;baby store;;;;;A retail shop selling products for infants and toddlers.
natural park;3;landmarks and outdoors;park;natural park;;;;A protected outdoor area for conservation and recreation.
airfield;4;travel and transportation;transport hub;airport;airfield;;;An area for aircraft takeoff, landing, and storage.
high school;4;community and government;education;primary and secondary school;high school;;;An educational institution for adolescents, typically grades 9-12.
tennis court;4;sports and recreation;racquet sports;tennis;tennis court;;;A designated area for playing tennis.
ash and haleem place;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;ash and haleem place;;A restaurant serving ash (a Persian soup) and haleem (a meat and grain stew).
night market;2;dining and drinking;night market;;;;;An outdoor market operating at night, selling food, goods, and entertainment.
buffet;3;dining and drinking;restaurant;buffet;;;;A restaurant where customers serve themselves from a variety of dishes.
szechuan restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;szechuan restaurant;;A restaurant serving Szechuan cuisine from China's Sichuan province.
wings joint;3;dining and drinking;restaurant;wings joint;;;;A casual restaurant specializing in chicken wings.
kurdish restaurant;4;dining and drinking;restaurant;middle eastern restaurant;kurdish restaurant;;;A restaurant serving cuisine from Kurdish regions.
soccer club;3;sports and recreation;soccer;soccer club;;;;An organization for playing and promoting soccer.
tennis;3;sports and recreation;racquet sports;tennis;;;;A sport played on a court with racquets and a ball.
corporate housing agency;3;business and professional services;office;corporate housing agency;;;;A company providing temporary housing for business professionals.
umbrian restaurant;4;dining and drinking;restaurant;italian restaurant;umbrian restaurant;;;A restaurant serving cuisine from Umbria, Italy.
pizzeria;3;dining and drinking;restaurant;pizzeria;;;;A restaurant specializing in pizza.
plastic surgeon;3;health and medicine;physician;plastic surgeon;;;;A medical doctor performing cosmetic or reconstructive surgery.
well;2;landmarks and outdoors;well;;;;;A structure for accessing underground water.
coffee shop;3;dining and drinking;cafe, coffee, and tea house;coffee shop;;;;A café serving coffee, tea, and light snacks.
pet grooming service;3;business and professional services;pet service;pet grooming service;;;;A business providing grooming services for pets.
convention;2;event;convention;;;;;A large meeting or gathering of people with shared interests.
acehnese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;acehnese restaurant;;A restaurant serving cuisine from Aceh, Indonesia.
french restaurant;3;dining and drinking;restaurant;french restaurant;;;;A restaurant serving French cuisine.
landscaper and gardener;3;business and professional services;home improvement service;landscaper and gardener;;;;A professional providing landscaping and gardening services.
surfing;3;sports and recreation;water sports;surfing;;;;A water sport where participants ride waves on a surfboard.
transport hub;2;travel and transportation;transport hub;;;;;A central location for various forms of transportation.
bike rental;2;travel and transportation;bike rental;;;;;A service renting bicycles for short-term use.
fire station;4;community and government;government building;law enforcement and public safety;fire station;;;A facility housing firefighters and firefighting equipment.
golf club;3;sports and recreation;golf;golf club;;;;An organization or facility for playing golf.
physical therapy clinic;2;health and medicine;physical therapy clinic;;;;;A medical facility providing rehabilitation and physical therapy.
southeastern brazilian restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;southeastern brazilian restaurant;A restaurant serving cuisine from Southeastern Brazil.
insurance agency;2;business and professional services;insurance agency;;;;;A company selling insurance policies.
kerala restaurant;4;dining and drinking;restaurant;indian restaurant;kerala restaurant;;;A restaurant serving cuisine from Kerala, India.
christmas market;3;event;marketplace;christmas market;;;;A seasonal market featuring holiday goods and food.
swiss restaurant;3;dining and drinking;restaurant;swiss restaurant;;;;A restaurant serving cuisine from Switzerland.
meze restaurant;4;dining and drinking;restaurant;greek restaurant;meze restaurant;;;A restaurant serving meze, small dishes common in Mediterranean cuisine.
hotel bar;3;dining and drinking;bar;hotel bar;;;;A bar located within a hotel.
parsi restaurant;4;dining and drinking;restaurant;indian restaurant;parsi restaurant;;;A restaurant serving Parsi cuisine, originating from the Zoroastrian community in India.
veneto restaurant;4;dining and drinking;restaurant;italian restaurant;veneto restaurant;;;A restaurant serving cuisine from Veneto, Italy.
cruise;2;travel and transportation;cruise;;;;;A voyage on a ship, often for leisure or tourism.
home health care service;2;health and medicine;home health care service;;;;;Medical and personal care provided in a patient's home.
equipment rental service;2;business and professional services;equipment rental service;;;;;A business renting tools, machinery, or other equipment.
airport;3;travel and transportation;transport hub;airport;;;;A facility for aircraft takeoff, landing, and passenger transport.
children's clothing store;3;retail;fashion retail;children's clothing store;;;;A retail shop selling clothes for children.
aids resource;2;health and medicine;aids resource;;;;;An organization providing information and support for AIDS.
dutch restaurant;3;dining and drinking;restaurant;dutch restaurant;;;;A restaurant serving cuisine from the Netherlands.
college quad;4;community and government;education;college and university;college quad;;;An open courtyard area on a college campus.
home service;3;business and professional services;home improvement service;home service;;;;A company providing maintenance or repair services at homes.
flower store;2;retail;flower store;;;;;A retail shop selling flowers and floral arrangements.
computer repair service;2;business and professional services;computer repair service;;;;;A business repairing computers and related devices.
tapas restaurant;4;dining and drinking;restaurant;spanish restaurant;tapas restaurant;;;A restaurant serving small Spanish dishes known as tapas.
tibetan restaurant;4;dining and drinking;restaurant;asian restaurant;tibetan restaurant;;;A restaurant serving cuisine from Tibet.
stock broker;3;business and professional services;financial service;stock broker;;;;A professional buying and selling stocks on behalf of clients.
architecture firm;2;business and professional services;architecture firm;;;;;A company providing architectural design and planning services.
zoo;2;arts and entertainment;zoo;;;;;A facility where animals are kept for public viewing and education.
organization;2;community and government;organization;;;;;A structured group of people with a common purpose.
adult education;3;community and government;education;adult education;;;;Educational programs designed for adult learners.
apres ski bar;3;dining and drinking;bar;apres ski bar;;;;A bar frequented after skiing for socializing and drinks.
trattoria;4;dining and drinking;restaurant;italian restaurant;trattoria;;;An Italian restaurant serving casual, traditional cuisine.
cretan restaurant;4;dining and drinking;restaurant;greek restaurant;cretan restaurant;;;A restaurant serving cuisine from Crete, Greece.
piedmontese restaurant;4;dining and drinking;restaurant;italian restaurant;piedmontese restaurant;;;A restaurant serving cuisine from Piedmont, Italy.
outdoor gym;3;sports and recreation;gym and studio;outdoor gym;;;;An exercise facility located outdoors with fitness equipment.
northern brazilian restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;northern brazilian restaurant;A restaurant serving cuisine from Northern Brazil.
gift store;2;retail;gift store;;;;;A retail shop selling gifts and souvenirs.
welding service;2;business and professional services;welding service;;;;;A business providing metal welding and fabrication services.
mosque;3;community and government;spiritual center;mosque;;;;A place of worship for Muslims.
tex-mex restaurant;4;dining and drinking;restaurant;mexican restaurant;tex-mex restaurant;;;A restaurant serving Tex-Mex cuisine, blending Texan and Mexican flavors.
border crossing;2;travel and transportation;border crossing;;;;;A point where people or goods pass between countries.
andhra restaurant;4;dining and drinking;restaurant;indian restaurant;andhra restaurant;;;A restaurant serving cuisine from Andhra Pradesh, India.
chimney sweep;3;business and professional services;home improvement service;chimney sweep;;;;A professional cleaning chimneys and fireplaces.
radio station;2;business and professional services;radio station;;;;;A facility broadcasting audio content over radio waves.
probation office;4;community and government;government building;law enforcement and public safety;probation office;;;A government office supervising individuals on probation.
rafting outfitter;3;sports and recreation;water sports;rafting outfitter;;;;A company providing equipment and services for river rafting.
cricket ground;2;sports and recreation;cricket ground;;;;;A field designated for playing cricket.
boat rental;2;travel and transportation;boat rental;;;;;A service renting boats for recreational use.
domestic abuse treatment center;2;community and government;domestic abuse treatment center;;;;;A facility offering support and treatment for domestic abuse victims.
motor scooter dealership;3;retail;automotive retail;motor scooter dealership;;;;A business selling and servicing motor scooters.
west-ukrainian restaurant;4;dining and drinking;restaurant;ukrainian restaurant;west-ukrainian restaurant;;;A restaurant serving cuisine from Western Ukraine.
corporate coffee shop;3;business and professional services;office;corporate coffee shop;;;;A café located within or affiliated with a corporation.
circus;2;arts and entertainment;circus;;;;;A traveling entertainment show featuring acrobats, clowns, and animals.
financial or legal service;2;retail;financial or legal service;;;;;A business providing financial advice or legal assistance.
pilates studio;3;sports and recreation;gym and studio;pilates studio;;;;A facility offering Pilates exercise classes.
leather supplier;2;business and professional services;leather supplier;;;;;A business providing leather materials for manufacturing.
telecommunication service;2;business and professional services;telecommunication service;;;;;A company offering phone, internet, or data services.
chettinad restaurant;4;dining and drinking;restaurant;indian restaurant;chettinad restaurant;;;A restaurant serving Chettinad cuisine from Tamil Nadu, India.
scientific equipment supplier;2;business and professional services;scientific equipment supplier;;;;;A business providing laboratory and scientific instruments.
newsagent;2;retail;newsagent;;;;;A retail shop selling newspapers, magazines, and related items.
bratwurst joint;4;dining and drinking;restaurant;german restaurant;bratwurst joint;;;A casual eatery specializing in bratwurst sausages.
college science building;4;community and government;education;college and university;college science building;;;A campus building dedicated to science departments and labs.
persian restaurant;4;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;;;A restaurant serving Persian (Iranian) cuisine.
tea room;3;dining and drinking;cafe, coffee, and tea house;tea room;;;;A café or establishment serving tea and light refreshments.
museum;2;arts and entertainment;museum;;;;;A facility preserving and displaying artifacts, art, or historical items.
cheese store;3;retail;food and beverage retail;cheese store;;;;A shop specializing in cheese products.
israeli restaurant;4;dining and drinking;restaurant;middle eastern restaurant;israeli restaurant;;;A restaurant serving cuisine from Israel.
structure;2;landmarks and outdoors;structure;;;;;A constructed building or framework.
prayer room;3;community and government;spiritual center;prayer room;;;;A room designated for prayer or meditation.
deck and patio contractor;3;business and professional services;home improvement service;deck and patio contractor;;;;A professional building decks, patios, and outdoor structures.
nature preserve;2;landmarks and outdoors;nature preserve;;;;;A protected area maintained for conservation and wildlife.
rv and motorhome dealership;4;retail;automotive retail;car dealership;rv and motorhome dealership;;;A business selling recreational vehicles and motorhomes.
community center;2;community and government;community center;;;;;A public facility for community activities and events.
inn;3;travel and transportation;lodging;inn;;;;A small lodging establishment offering accommodation and sometimes meals.
hockey;2;sports and recreation;hockey;;;;;A team sport played on ice or field with sticks and a ball or puck.
bay;2;landmarks and outdoors;bay;;;;;A body of water partially enclosed by land.
acai house;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;acai house;A café or shop specializing in acai bowls and related products.
italian restaurant;3;dining and drinking;restaurant;italian restaurant;;;;A restaurant serving cuisine from Italy.
private school;3;community and government;education;private school;;;;An educational institution privately funded rather than government-run.
rest area;2;travel and transportation;rest area;;;;;A designated area along a highway where travelers can stop to rest, use facilities, or eat.
pawn shop;2;retail;pawn shop;;;;;A store where people can pawn or sell personal items for cash loans.
newsstand;2;retail;newsstand;;;;;A small stall or shop selling newspapers, magazines, and periodicals.
diner;3;dining and drinking;restaurant;diner;;;;A casual restaurant often serving comfort food and open late hours.
running store;3;retail;sporting goods retail;running store;;;;A retail store specializing in running shoes, apparel, and accessories.
comic book store;2;retail;comic book store;;;;;A shop selling comic books, graphic novels, and related merchandise.
retirement home;2;community and government;retirement home;;;;;A residential facility providing care and housing for elderly people.
casino;2;arts and entertainment;casino;;;;;A facility offering gambling games, such as slots, poker, and roulette.
austrian restaurant;3;dining and drinking;restaurant;austrian restaurant;;;;A restaurant serving Austrian cuisine.
tianjin restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;tianjin restaurant;;A restaurant serving cuisine from Tianjin, China.
vehicle inspection station;3;business and professional services;automotive service;vehicle inspection station;;;;A facility where vehicles are inspected for safety and emissions compliance.
courthouse;3;community and government;government building;courthouse;;;;A building where legal cases are heard and judicial matters are conducted.
bengali restaurant;4;dining and drinking;restaurant;indian restaurant;bengali restaurant;;;A restaurant serving cuisine from Bengal, India or Bangladesh.
law school;4;community and government;education;college and university;law school;;;An educational institution specializing in legal studies.
public transportation;3;travel and transportation;transportation service;public transportation;;;;Systems like buses, trains, and subways that carry passengers.
schnitzel restaurant;4;dining and drinking;restaurant;german restaurant;schnitzel restaurant;;;A restaurant specializing in schnitzel, a breaded and fried meat dish.
entertainment service;2;business and professional services;entertainment service;;;;;A company providing entertainment for events or public venues.
henan restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;henan restaurant;;A restaurant serving cuisine from Henan, China.
research laboratory;2;business and professional services;research laboratory;;;;;A facility for scientific research and experiments.
storage facility;2;business and professional services;storage facility;;;;;A building where individuals or businesses can store goods and belongings.
check cashing service;3;business and professional services;financial service;check cashing service;;;;A business that cashes checks for a fee.
south tyrolean restaurant;4;dining and drinking;restaurant;italian restaurant;south tyrolean restaurant;;;A restaurant serving cuisine from South Tyrol, Italy.
manti place;4;dining and drinking;restaurant;turkish restaurant;manti place;;;A restaurant serving manti, a type of dumpling popular in Turkey and Central Asia.
heating, ventilating and air conditioning contractor;3;business and professional services;home improvement service;heating, ventilating and air conditioning contractor;;;;A professional company providing HVAC installation and repair.
pediatrician;3;health and medicine;physician;pediatrician;;;;A medical doctor specializing in the care of children.
kuruyemişçi shop;3;retail;food and beverage retail;kuruyemişçi shop;;;;A store selling nuts, dried fruits, and snacks, common in Turkey.
bicycle store;3;retail;sporting goods retail;bicycle store;;;;A shop selling bicycles and related accessories.
skate park;3;sports and recreation;skating;skate park;;;;A recreational area designed for skateboarding, rollerblading, and BMX biking.
resort;3;travel and transportation;lodging;resort;;;;A commercial facility providing lodging, entertainment, and recreation for vacationers.
pide place;4;dining and drinking;restaurant;turkish restaurant;pide place;;;A restaurant serving pide, a Turkish flatbread dish with various toppings.
construction;2;business and professional services;construction;;;;;The process or industry of building structures, roads, and infrastructure.
som tum restaurant;5;dining and drinking;restaurant;asian restaurant;thai restaurant;som tum restaurant;;A restaurant serving som tum, a spicy green papaya salad from Thailand.
basketball;2;sports and recreation;basketball;;;;;A team sport played with a ball and hoop on a court.
bavarian restaurant;4;dining and drinking;restaurant;german restaurant;bavarian restaurant;;;A restaurant serving cuisine from Bavaria, Germany.
sicilian restaurant;4;dining and drinking;restaurant;italian restaurant;sicilian restaurant;;;A restaurant serving cuisine from Sicily, Italy.
opera house;3;arts and entertainment;performing arts venue;opera house;;;;A theater building for performing operas and other musical productions.
emilia restaurant;4;dining and drinking;restaurant;italian restaurant;emilia restaurant;;;A restaurant serving cuisine from Emilia, Italy.
basketball court;3;sports and recreation;basketball;basketball court;;;;A designated area for playing basketball.
college math building;4;community and government;education;college and university;college math building;;;A campus building housing mathematics departments and classrooms.
automotive shop;2;retail;automotive shop;;;;;A business providing car repair, maintenance, or modification services.
home appliance store;3;retail;furniture and home store;home appliance store;;;;A retail store selling household electrical appliances.
