OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
plot;place > populated settlements urban > plot;A named plot is a tract or parcel of land owned or meant to be owned by some owner.;['housing development', 'housing authority', 'dump', 'residential building', 'apartment condo'];[0.3631024956703186, 0.3468608856201172, 0.31421566009521484, 0.3121625781059265, 0.30005258321762085];housing development;A named plot is a tract or parcel of land owned or meant to be owned by some owner.;landmarks outdoors > states municipalities;states municipalities;0;0;0;0;place;place > populated settlements urban
city;place > populated settlements urban rural > city;The largest urban settlement or settlements within the territory.;['village', 'neighborhood', 'town', 'city', 'country'];[0.45877766609191895, 0.4080406427383423, 0.3972199857234955, 0.3842695355415344, 0.3724129796028137];city;The largest urban settlement or settlements within the territory.;landmarks outdoors > states municipalities > city;city;1;1;0;1;place;place > populated settlements urban rural
town;place > populated settlements urban rural > town;An important urban centre, between a village and a city in size.;['village', 'housing development', 'town hall', 'community center', 'town'];[0.46103620529174805, 0.4124634265899658, 0.37870967388153076, 0.36620259284973145, 0.36090677976608276];town;An important urban centre, between a village and a city in size.;landmarks outdoors > states municipalities > town;town;1;1;0;1;place;place > populated settlements urban rural
village;place > populated settlements urban rural > village;A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.;['village', 'housing development', 'town hall', 'neighborhood', 'town'];[0.4961644113063812, 0.43190300464630127, 0.4160539209842682, 0.3833416700363159, 0.3814929723739624];village;A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.;landmarks outdoors > states municipalities > village;village;1;1;1;1;place;place > populated settlements urban rural
hamlet;place > populated settlements urban rural > hamlet;A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure.;['housing development', 'village', 'assisted living', 'residential building', 'home private'];[0.479961633682251, 0.38194015622138977, 0.37225744128227234, 0.37068966031074524, 0.34752315282821655];village;A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure.;landmarks outdoors > states municipalities > village;village;1;1;0;1;place;place > populated settlements urban rural
isolated dwelling;place > populated settlements urban rural > isolated dwelling;The smallest kind of settlement (1-2 households).;['housing development', 'home private', 'residential building', 'assisted living', 'housing authority'];[0.5206778645515442, 0.4806864261627197, 0.42894449830055237, 0.41289347410202026, 0.40257686376571655];home private;The smallest kind of settlement (1-2 households).;landmarks outdoors > states municipalities > village;village;0;0;0;0;place;place > populated settlements urban rural
farm;place > populated settlements urban rural > farm;An individually named farm.;['farm', 'farmers market', 'village', 'animal shelter', 'housing development'];[0.5577126741409302, 0.382190465927124, 0.37776505947113037, 0.3504588305950165, 0.3356765806674957];farm;An individually named farm.;landmarks outdoors > farm;farm;1;1;1;1;place;place > populated settlements urban rural
allotments;place > populated settlements urban rural > allotments;A separate settlement, which is located outside an officially inhabited locality and has its own addressing;['village', 'neighborhood', 'town', 'states municipalities', 'city'];[0.4892634153366089, 0.4594837725162506, 0.4132130742073059, 0.40913814306259155, 0.39372506737709045];village;A separate settlement, which is located outside an officially inhabited locality and has its own addressing;landmarks outdoors > states municipalities > village;village;1;1;1;1;place;place > populated settlements urban rural
continent;place > places > continent;One of the seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, South America.;['northern brazilian restaurant', 'country', 'acai house', 'northeastern brazilian restaurant', 'southeastern brazilian restaurant'];[0.29594358801841736, 0.2948440909385681, 0.29052624106407166, 0.28642919659614563, 0.28175655007362366];country;One of the seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, South America.;landmarks outdoors;landmarks outdoors;0;0;0;0;place;place > places
archipelago;place > places > archipelago;A named group or chain of closely related islands and islets.;['island', 'puerto rican restaurant', 'caribbean restaurant', 'mountain hut', 'cuban restaurant'];[0.459250271320343, 0.33081042766571045, 0.3238295614719391, 0.2990567684173584, 0.28664103150367737];island;A named group or chain of closely related islands and islets.;landmarks outdoors > island;island;1;1;1;1;place;place > places
island;place > places > island;Any piece of land that is completely surrounded by water and isolated from other significant landmasses.;['island', 'surf spot', 'bathing area', 'nudist beach', 'dive spot'];[0.5550878047943115, 0.4555397629737854, 0.45381778478622437, 0.42718321084976196, 0.42216265201568604];island;Any piece of land that is completely surrounded by water and isolated from other significant landmasses.;landmarks outdoors > island;island;1;1;1;1;place;place > places
islet;place > places > islet;A very small island.;['island', 'caribbean restaurant', 'puerto rican restaurant', 'mountain hut', 'resort'];[0.5294839143753052, 0.3947102427482605, 0.3787623643875122, 0.3466280996799469, 0.33993297815322876];island;A very small island.;landmarks outdoors > island;island;1;1;1;1;place;place > places
square;place > places > square;A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.;['village', 'town hall', 'neighborhood', 'town', 'city hall'];[0.46155470609664917, 0.3911011815071106, 0.36483511328697205, 0.36328649520874023, 0.33943384885787964];town;A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.;landmarks outdoors > plaza;plaza;0;0;0;0;place;place > places
locality;place > places > locality;A named place that has no population.;['village', 'neighborhood', 'town', 'country', 'bathing area'];[0.4257964789867401, 0.4172763228416443, 0.38384610414505005, 0.37401890754699707, 0.3735721707344055];neighborhood;A named place that has no population.;landmarks outdoors > states municipalities;states municipalities;0;0;0;0;place;place > places
polder;place > places > polder;A land area that forms an artificial hydrological entity enclosed by embankments and usually is under sea level.;['dam', 'reservoir', 'bathing area', 'river', 'well'];[0.363042950630188, 0.3328755497932434, 0.29575902223587036, 0.27783438563346863, 0.27645230293273926];reservoir;A land area that forms an artificial hydrological entity enclosed by embankments and usually is under sea level.;landmarks outdoors;landmarks outdoors;0;0;0;0;place;place > places
sea;place > places > sea;A large body of salt water part of, or connected to, an ocean.;['dive spot', 'bathing area', 'surf spot', 'beach', 'harbor marina'];[0.47596508264541626, 0.461803674697876, 0.4400242269039154, 0.429530531167984, 0.4069056510925293];beach;A large body of salt water part of, or connected to, an ocean.;landmarks outdoors;landmarks outdoors;0;0;0;0;place;place > places
ocean;place > places > ocean;The world's five main major oceanic divisions.;['dive spot', 'surf spot', 'nudist beach', 'beach', 'harbor marina'];[0.37583526968955994, 0.3530198335647583, 0.3437287211418152, 0.3387818932533264, 0.3230096101760864];beach;The world's five main major oceanic divisions.;landmarks outdoors;landmarks outdoors;0;0;0;0;place;place > places
cable;power > cable;An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables;['cable car', 'electric vehicle charging station', 'electrical equipment supplier', 'port', 'power plant'];[0.4981502294540405, 0.3581949770450592, 0.2935357093811035, 0.27955177426338196, 0.2719419598579407];electrical equipment supplier;An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables;business professional services > electrical equipment supplier;electrical equipment supplier;1;1;0;1;power;power > cable
catenary mast;power > catenary mast;A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains.;['tram station', 'cable car', 'train', 'electric vehicle charging station', 'airport tram station'];[0.4364616274833679, 0.42337918281555176, 0.3869829773902893, 0.37880802154541016, 0.3773851990699768];tram station;A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains.;travel transportation;travel transportation;0;0;0;0;power;power > catenary mast
compensator;power > compensator;A static power device used to ensure power quality and electrical network resilience.;['power plant', 'electrical equipment supplier', 'electric vehicle charging station', 'utility company', 'electrician'];[0.3600814640522003, 0.33779147267341614, 0.26101067662239075, 0.2554876208305359, 0.24101877212524414];electrical equipment supplier;A static power device used to ensure power quality and electrical network resilience.;business professional services > electrical equipment supplier;electrical equipment supplier;1;1;0;1;power;power > compensator
connection;power > connection;A free-standing electrical connection between two or more overhead wires.;['cable car', 'electrical equipment supplier', 'power plant', 'electric vehicle charging station', 'windmill'];[0.2810487747192383, 0.26446622610092163, 0.2304185926914215, 0.20645159482955933, 0.19169923663139343];electrical equipment supplier;A free-standing electrical connection between two or more overhead wires.;business professional services > electrical equipment supplier;electrical equipment supplier;1;1;0;1;power;power > connection
converter;power > converter;A device to convert power between alternating and direct current electrical power: often, but not only, over high voltage networks;['electric vehicle charging station', 'power plant', 'electrical equipment supplier', 'electrician', 'computers electronics retail'];[0.30878889560699463, 0.3027130961418152, 0.2590320408344269, 0.2561599314212799, 0.2316930592060089];power plant;A device to convert power between alternating and direct current electrical power: often, but not only, over high voltage networks;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;power;power > converter
generator;power > generator;A device which converts one form of energy to another, for example, an electrical generator.;['power plant', 'electric vehicle charging station', 'fuel station', 'renewable energy service', 'electrical equipment supplier'];[0.34466424584388733, 0.30081480741500854, 0.2570682764053345, 0.25391387939453125, 0.22369733452796936];power plant;A device which converts one form of energy to another, for example, an electrical generator.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;power;power > generator
heliostat;power > heliostat;A mirror of a heliostat device;['heliport', 'psychic astrologer', 'power plant', 'taxi stand', 'observatory'];[0.23458848893642426, 0.2270631492137909, 0.18707028031349182, 0.18604454398155212, 0.16910846531391144];power plant;A mirror of a heliostat device;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > heliostat
insulator;power > insulator;An electrical insulator which connects a power line to a support structure and prevents grounding.;['power plant', 'electrician', 'electric vehicle charging station', 'fire station', 'bus line'];[0.21083208918571472, 0.21081578731536865, 0.2070014476776123, 0.19885799288749695, 0.1904868185520172];power plant;An electrical insulator which connects a power line to a support structure and prevents grounding.;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > insulator
inverter;power > inverter;A device to convert power from direct current to alternating current.;['electric vehicle charging station', 'power plant', 'direct mail email marketing service', 'renewable energy service', 'electrical equipment supplier'];[0.2776849865913391, 0.25415608286857605, 0.2412884682416916, 0.20629066228866577, 0.1955709457397461];power plant;A device to convert power from direct current to alternating current.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;power;power > inverter
line;power > line;High-voltage power lines used for power transmission, usually supported by towers or pylons;['power plant', 'bus line', 'utility company', 'electric vehicle charging station', 'light rail station'];[0.32512664794921875, 0.28779855370521545, 0.2563525438308716, 0.24481570720672607, 0.2331179976463318];utility company;High-voltage power lines used for power transmission, usually supported by towers or pylons;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > line
bay;power > line > bay;A power line within a substation which connects a circuit to a busbar.;['bus line', 'power plant', 'bus station', 'rail station', 'light rail station'];[0.4651263952255249, 0.3675999939441681, 0.3418140411376953, 0.331623375415802, 0.3261452615261078];power plant;A power line within a substation which connects a circuit to a busbar.;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > line
minor line;power > minor line;Minor power lines forming the distribution grid, usually carried by poles.;['power plant', 'bus line', 'utility company', 'electrical equipment supplier', 'renewable energy service'];[0.33413413166999817, 0.3065890967845917, 0.2565464973449707, 0.2557995021343231, 0.24435143172740936];utility company;Minor power lines forming the distribution grid, usually carried by poles.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;power;power > minor line
plant;power > plant;An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.;['power plant', 'fuel station', 'utility company', 'chemicals gasses manufacturer', 'fire station'];[0.4466170370578766, 0.37495434284210205, 0.2929688096046448, 0.2834119498729706, 0.2701570689678192];power plant;An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.;business professional services > power plant;power plant;1;1;1;1;power;power > plant
pole;power > pole;A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.;['power plant', 'capitol building', 'rail station', 'bus line', 'light rail station'];[0.2689289152622223, 0.22904706001281738, 0.2240835428237915, 0.21894636750221252, 0.21783286333084106];power plant;A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > pole
portal;power > portal;A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.;['cable car', 'port', 'taxi stand', 'electrical equipment supplier', 'platform'];[0.39772137999534607, 0.32323944568634033, 0.3111999034881592, 0.2949206531047821, 0.28977933526039124];electrical equipment supplier;A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.;business professional services > electrical equipment supplier;electrical equipment supplier;1;1;0;1;power;power > portal
substation;power > substation;A facility which controls the flow of electricity in a power network with transformers, switchgear or compensators.;['electrical equipment supplier', 'power plant', 'electric vehicle charging station', 'utility company', 'distribution center'];[0.3575635254383087, 0.35590097308158875, 0.3161320090293884, 0.2981780767440796, 0.27675628662109375];power plant;A facility which controls the flow of electricity in a power network with transformers, switchgear or compensators.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;1;1;power;power > substation
switch;power > switch;A device which allows electrical network operators to power up & down lines and transformers in substations or along the power grid.;['electrical equipment supplier', 'power plant', 'electrician', 'utility company', 'electric vehicle charging station'];[0.4318673014640808, 0.41298526525497437, 0.3605656623840332, 0.31433939933776855, 0.28466612100601196];electrical equipment supplier;A device which allows electrical network operators to power up & down lines and transformers in substations or along the power grid.;business professional services > electrical equipment supplier;electrical equipment supplier;1;1;1;1;power;power > switch
switchgear;power > switchgear;A switchgear, which comprises one or more busbar assemblies and a number of bays each connecting a circuit to the busbar assembly.;['charter bus', 'bus line', 'bus station', 'bus stop', 'light rail station'];[0.3690279424190521, 0.3400959372520447, 0.3361760973930359, 0.3252241611480713, 0.32051190733909607];charter bus;A switchgear, which comprises one or more busbar assemblies and a number of bays each connecting a circuit to the busbar assembly.;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > switchgear
terminal;power > terminal;"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.";['power plant', 'airport terminal', 'bus line', 'electric vehicle charging station', 'airport tram station'];[0.3115927577018738, 0.31054961681365967, 0.2895842492580414, 0.27404898405075073, 0.27016735076904297];power plant;"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.";business professional services > electrical equipment supplier;electrical equipment supplier;0;0;0;0;power;power > terminal
tower;power > tower;A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.;['cable car', 'power plant', 'construction supplies store', 'electric vehicle charging station', 'electrical equipment supplier'];[0.3427687883377075, 0.28562116622924805, 0.2845202684402466, 0.2626464366912842, 0.2455914169549942];power plant;A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;power;power > tower
transformer;power > transformer;A device for stepping up or down electric voltage. Large power transformers are typically located inside substations;['power plant', 'electrical equipment supplier', 'electrician', 'electric vehicle charging station', 'chimney sweep'];[0.37004920840263367, 0.3391540050506592, 0.2932095527648926, 0.26279109716415405, 0.2503584623336792];power plant;A device for stepping up or down electric voltage. Large power transformers are typically located inside substations;business professional services > power plant;power plant;1;1;1;1;power;power > transformer
stop position;public transport > public transport > stop position;The position on the street or rails where a public transport vehicle stops.;['truck stop', 'bus stop', 'street', 'intersection', 'rail station'];[0.5816166400909424, 0.519166111946106, 0.4988112449645996, 0.48424434661865234, 0.4836423993110657];bus stop;The position on the street or rails where a public transport vehicle stops.;travel transportation > transportation service > public transportation;public transportation;0;0;0;0;public transport;public transport > public transport
platform;public transport > public transport > platform;The place where passengers are waiting for the public transport vehicles.;['platform', 'public transportation', 'transportation service', 'street', 'travel transportation'];[0.6744014024734497, 0.6332216262817383, 0.5615795850753784, 0.5427361130714417, 0.5362802147865295];platform;The place where passengers are waiting for the public transport vehicles.;travel transportation > platform;platform;1;1;1;1;public transport;public transport > public transport
station;public transport > public transport > station;A station is an area designed to access public transport.;['public transportation', 'bus line', 'rail station', 'rest area', 'bus station'];[0.6299475431442261, 0.5777752995491028, 0.5579532980918884, 0.5521122217178345, 0.5510486364364624];rail station;A station is an area designed to access public transport.;travel transportation > transportation service > public transportation;public transportation;0;1;1;1;public transport;public transport > public transport
stop area;public transport > public transport > stop area;A relation that contains all elements of a train, subway, monorail, tram, bus, trolleybus, aerialway, or ferry stop.;['tram station', 'public transportation', 'bus stop', 'airport tram station', 'truck stop'];[0.5293358564376831, 0.515865683555603, 0.5096506476402283, 0.4962041974067688, 0.483650803565979];public transportation;A relation that contains all elements of a train, subway, monorail, tram, bus, trolleybus, aerialway, or ferry stop.;travel transportation > transportation service > public transportation;public transportation;1;1;0;1;public transport;public transport > public transport
stop area group;public transport > public transport > stop area group;;['public transportation', 'truck stop', 'bus stop', 'bus line', 'street'];[0.5876842737197876, 0.5690598487854004, 0.5582855939865112, 0.5140200853347778, 0.49513524770736694];public transportation;;travel transportation > transportation service > public transportation;public transportation;1;1;1;1;public transport;public transport > public transport
abandoned;railway > tracks > abandoned;The course of a former railway which has been abandoned and the track removed. The course is still recognized through embankments, cuttings, tree rows, bridges, tunnels, remaining track ties, building shapes and rolling or straight ways. For demolished rails that are no longer identifiable, e.g. that have been built over, some use the highly questionable railway=razed.;['train', 'track', 'running track', 'race track', 'running club'];[0.39050692319869995, 0.37580037117004395, 0.338984876871109, 0.3202487528324127, 0.31956666707992554];track;The course of a former railway which has been abandoned and the track removed. The course is still recognized through embankments, cuttings, tree rows, bridges, tunnels, remaining track ties, building shapes and rolling or straight ways. For demolished rails that are no longer identifiable, e.g. that have been built over, some use the highly questionable railway=razed.;travel transportation > train;train;0;1;1;1;railway;railway > tracks
construction;railway > tracks > construction;Railway under construction.;['train', 'rail station', 'light rail station', 'track', 'capitol building'];[0.524199903011322, 0.49591729044914246, 0.41921520233154297, 0.4052833616733551, 0.3737170696258545];track;Railway under construction.;travel transportation > train;train;0;1;1;1;railway;railway > tracks
proposed;railway > tracks > proposed;Railway being proposed but haven't started construction. Please see the proposed page regarding verifiability on the ground of this value.;['rail station', 'train', 'capitol building', 'college engineering building', 'light rail station'];[0.3594757318496704, 0.3424462676048279, 0.3328523337841034, 0.31447649002075195, 0.30647796392440796];train;Railway being proposed but haven't started construction. Please see the proposed page regarding verifiability on the ground of this value.;travel transportation > train;train;1;1;0;1;railway;railway > tracks
disused;railway > tracks > disused;A section of railway which is no longer used but where the track and infrastructure remains in place. The track is likely overgrown with endemic vegetation, but could be brought back into useful service with only minor effort.;['train', 'track', 'rail station', 'racecourse', 'running track'];[0.41985827684402466, 0.4129226803779602, 0.3974238932132721, 0.386741042137146, 0.3748641908168793];track;A section of railway which is no longer used but where the track and infrastructure remains in place. The track is likely overgrown with endemic vegetation, but could be brought back into useful service with only minor effort.;travel transportation > train;train;0;1;1;1;railway;railway > tracks
funicular;railway > tracks > funicular;Cable driven inclined railways on a steep slope, with a pair of cars connected by one cable;['cable car', 'train', 'rail station', 'intersection', 'light rail station'];[0.5714176297187805, 0.4160504937171936, 0.3646931052207947, 0.3380967974662781, 0.3368847370147705];cable car;Cable driven inclined railways on a steep slope, with a pair of cars connected by one cable;travel transportation;travel transportation;0;0;0;0;railway;railway > tracks
light rail;railway > tracks > light rail;A higher-standard tram system, normally in its own right-of-way. Often it connects towns and thus reaches a considerable length (tens of kilometres).;['tram station', 'light rail station', 'airport tram station', 'rail station', 'train'];[0.5596128702163696, 0.5072149038314819, 0.49055415391921997, 0.4698890447616577, 0.43856722116470337];light rail station;A higher-standard tram system, normally in its own right-of-way. Often it connects towns and thus reaches a considerable length (tens of kilometres).;travel transportation;travel transportation;0;0;0;0;railway;railway > tracks
miniature;railway > tracks > miniature;"Miniature railways are narrower than narrow gauge and carry passengers, frequently at an exact scale of ""standard-sized"" rail (for example ""1/4 scale""). They can often be found in parks.";['train', 'rail station', 'light rail station', 'platform', 'track'];[0.42267054319381714, 0.38754940032958984, 0.33650046586990356, 0.3017221689224243, 0.296390175819397];train;"Miniature railways are narrower than narrow gauge and carry passengers, frequently at an exact scale of ""standard-sized"" rail (for example ""1/4 scale""). They can often be found in parks.";travel transportation > train;train;1;1;1;1;railway;railway > tracks
monorail;railway > tracks > monorail;A railway with only a single rail. A monorail can run above the rail like in Las Vegas and Disneyland or can suspend below the rail like the Wuppertal Schwebebahn (Germany).;['rail station', 'train', 'light rail station', 'tram station', 'platform'];[0.4634546935558319, 0.45944008231163025, 0.4358040392398834, 0.32023826241493225, 0.31972646713256836];train;A railway with only a single rail. A monorail can run above the rail like in Las Vegas and Disneyland or can suspend below the rail like the Wuppertal Schwebebahn (Germany).;travel transportation > train;train;1;1;0;1;railway;railway > tracks
narrow gauge;railway > tracks > narrow gauge;Narrow-gauge passenger or freight train tracks. Narrow gauge railways can have mainline railway service like the Rhaetian Railway in Switzerland or can be a small light industrial railway. Use gauge=* to specify the actual width of rails in mm.;['rail station', 'train', 'light rail station', 'transportation service', 'track'];[0.42921343445777893, 0.4096717834472656, 0.4062161445617676, 0.2750606834888458, 0.2736028730869293];track;Narrow-gauge passenger or freight train tracks. Narrow gauge railways can have mainline railway service like the Rhaetian Railway in Switzerland or can be a small light industrial railway. Use gauge=* to specify the actual width of rails in mm.;travel transportation > train;train;0;1;0;1;railway;railway > tracks
preserved;railway > tracks > preserved;This is the old tag for historic trains. Use railway:preserved=yes for historical railway instead.;['train', 'rail station', 'light rail station', 'track', 'moving target'];[0.46290117502212524, 0.35991424322128296, 0.3110499978065491, 0.2941057085990906, 0.2927752137184143];train;This is the old tag for historic trains. Use railway:preserved=yes for historical railway instead.;landmarks outdoors > historic protected site;historic protected site;0;0;0;0;railway;railway > tracks
rail;railway > tracks > rail;Full sized passenger or freight train tracks in the standard gauge for the country or state.;['train', 'rail station', 'light rail station', 'track', 'shipping freight material transportation service'];[0.5438801050186157, 0.4921940565109253, 0.4245286285877228, 0.3357059955596924, 0.31821340322494507];train;Full sized passenger or freight train tracks in the standard gauge for the country or state.;travel transportation > train;train;1;1;1;1;railway;railway > tracks
subway;railway > tracks > subway;A city passenger rail service running mostly grade separated (see Wikipedia:rapid transit). Often a significant portion of the line or its system/network is underground.;['bus line', 'rail station', 'train', 'transportation service', 'public transportation'];[0.48505154252052307, 0.45247745513916016, 0.44587889313697815, 0.4383300542831421, 0.4357947111129761];public transportation;A city passenger rail service running mostly grade separated (see Wikipedia:rapid transit). Often a significant portion of the line or its system/network is underground.;travel transportation > transportation service > public transportation;public transportation;1;1;0;1;railway;railway > tracks
tram;railway > tracks > tram;"One or two carriage rail vehicle tracks, usually sharing motor road, sometimes called ""street running"" (Other languages).";['tram station', 'train', 'rail station', 'airport tram station', 'street'];[0.5307812094688416, 0.44801247119903564, 0.4462825059890747, 0.43782106041908264, 0.41899603605270386];tram station;"One or two carriage rail vehicle tracks, usually sharing motor road, sometimes called ""street running"" (Other languages).";travel transportation > transportation service;transportation service;0;0;0;0;railway;railway > tracks
halt;railway > stations stops > halt;A small station without switches;['rail station', 'light rail station', 'fuel station', 'bus stop', 'truck stop'];[0.43837064504623413, 0.41551363468170166, 0.35857003927230835, 0.3574453890323639, 0.34698882699012756];rail station;A small station without switches;travel transportation > transport hub > light rail station;light rail station;0;1;0;1;railway;railway > stations stops
platform;railway > stations stops > platform;This is parallel to the rail line for showing where the actual platforms are. It is also to know where you can change platform and enter the station, so use footpaths to connect them. This is really useful for routing too. Use in addition to public_transport=platform.;['rail station', 'bus line', 'platform', 'light rail station', 'public transportation'];[0.5376982688903809, 0.47632914781570435, 0.4762600064277649, 0.4697663187980652, 0.4301437735557556];platform;This is parallel to the rail line for showing where the actual platforms are. It is also to know where you can change platform and enter the station, so use footpaths to connect them. This is really useful for routing too. Use in addition to public_transport=platform.;travel transportation > platform;platform;1;1;0;1;railway;railway > stations stops
station;railway > stations stops > station;Railway passenger and/or cargo station. Use in addition to public_transport=station.;['rail station', 'train', 'fuel station', 'public transportation', 'bus line'];[0.5994482636451721, 0.5491037964820862, 0.5446431636810303, 0.5382845401763916, 0.5096169710159302];rail station;Railway passenger and/or cargo station. Use in addition to public_transport=station.;travel transportation > transport hub > rail station;rail station;1;1;1;1;railway;railway > stations stops
stop;railway > stations stops > stop;Marks the position where trains stop at a station. It should be added as a node on a railway=rail way.;['rail station', 'light rail station', 'bus stop', 'metro station', 'truck stop'];[0.5561575889587402, 0.5048649311065674, 0.4898010194301605, 0.4375654458999634, 0.41843196749687195];rail station;Marks the position where trains stop at a station. It should be added as a node on a railway=rail way.;travel transportation > transport hub > rail station;rail station;1;1;1;1;railway;railway > stations stops
subway entrance;railway > stations stops > subway entrance;The entrance to a subway station, usually going from surface to underground.;['rail station', 'light rail station', 'train', 'metro station', 'tram station'];[0.4722954034805298, 0.43503060936927795, 0.4101322591304779, 0.40486806631088257, 0.39539268612861633];metro station;The entrance to a subway station, usually going from surface to underground.;travel transportation > transport hub > metro station;metro station;1;1;0;1;railway;railway > stations stops
tram stop;railway > stations stops > tram stop;A tram stop is a place where a passenger can embark / disembark a tram.;['tram station', 'airport tram station', 'rail station', 'truck stop', 'light rail station'];[0.6484783887863159, 0.6118455529212952, 0.4778609275817871, 0.4468114972114563, 0.4461420178413391];tram station;A tram stop is a place where a passenger can embark / disembark a tram.;travel transportation > transport hub > tram station;tram station;1;1;1;1;railway;railway > stations stops
buffer stop;railway > infrastructure > buffer stop;Stops the train at the end of a track. See buffer stop.;['bus stop', 'truck stop', 'rail station', 'intersection', 'light rail station'];[0.48698148131370544, 0.45601603388786316, 0.3686929941177368, 0.362098753452301, 0.34547922015190125];rail station;Stops the train at the end of a track. See buffer stop.;travel transportation > train;train;0;0;0;0;railway;railway > infrastructure
crossing;railway > infrastructure > crossing;A point where pedestrians may cross.;['border crossing', 'moving target', 'light rail station', 'rail station', 'train'];[0.5793944597244263, 0.4723752737045288, 0.46849745512008667, 0.45945221185684204, 0.45513296127319336];border crossing;A point where pedestrians may cross.;travel transportation > road > intersection;intersection;0;0;0;0;railway;railway > infrastructure
derail;railway > infrastructure > derail;A device used to prevent fouling of a rail track by unauthorized movements of trains or unattended rolling stock. See Derail (railroad).;['rail station', 'train', 'moving target', 'light rail station', 'track'];[0.40645235776901245, 0.3979012370109558, 0.3810136914253235, 0.35162991285324097, 0.302653431892395];track;A device used to prevent fouling of a rail track by unauthorized movements of trains or unattended rolling stock. See Derail (railroad).;travel transportation > train;train;0;1;0;1;railway;railway > infrastructure
level crossing;railway > infrastructure > level crossing;A point where rails and roads cross.;['border crossing', 'intersection', 'rail station', 'light rail station', 'train'];[0.5487748384475708, 0.49577802419662476, 0.4802345633506775, 0.4301648736000061, 0.3938358426094055];intersection;A point where rails and roads cross.;travel transportation > road > intersection;intersection;1;1;0;1;railway;railway > infrastructure
railway crossing;railway > infrastructure > railway crossing;Crossing rails with no interconnection.;['border crossing', 'rail station', 'train', 'light rail station', 'intersection'];[0.6018044352531433, 0.504097044467926, 0.4734746813774109, 0.4572293758392334, 0.44217029213905334];intersection;Crossing rails with no interconnection.;travel transportation > road > intersection;intersection;1;1;0;1;railway;railway > infrastructure
roundhouse;railway > infrastructure > roundhouse;A semicircular building with many stalls for servicing engines.;['rail station', 'light rail station', 'train', 'city hall', 'fuel station'];[0.4186455011367798, 0.3549765944480896, 0.34127211570739746, 0.32491132616996765, 0.31874775886535645];rail station;A semicircular building with many stalls for servicing engines.;travel transportation;travel transportation;0;0;0;0;railway;railway > infrastructure
signal;railway > infrastructure > signal;Any kind of railway signal.;['rail station', 'light rail station', 'train', 'metro station', 'tram station'];[0.5295465588569641, 0.5260567665100098, 0.4816988408565521, 0.4237005114555359, 0.4027373194694519];train;Any kind of railway signal.;travel transportation > train;train;1;1;0;1;railway;railway > infrastructure
switch;railway > infrastructure > switch;Full connections between railways (aka 'points').;['rail station', 'light rail station', 'train', 'bus line', 'border crossing'];[0.4501291811466217, 0.4331342577934265, 0.4223238229751587, 0.40569359064102173, 0.38163283467292786];train;Full connections between railways (aka 'points').;travel transportation;travel transportation;0;0;0;0;railway;railway > infrastructure
