OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
tea;shop > food beverages > tea;Shop focused on selling tea.;['farmers market', 'wine store', 'grocery store', 'liquor store', 'beer store', 'tea room', 'coffee shop', 'cafe coffee tea house', 'supermarket', 'bubble tea shop', 'food beverage retail', 'cafe', 'indian sweet shop', 'dairy store', 'food stand', 'gourmet store', 'market', 'fish market', 'imported food store', 'night market', 'fruit vegetable store', 'herbs spices store', 'retail', 'pet cafe', 'smoothie shop', 'bakery', 'candy store', 'cidery', 'meadery', 'cheese store'];[0.613929271697998, 0.5990550518035889, 0.5947518348693848, 0.5869399905204773, 0.5867658853530884, 0.5850323438644409, 0.5743715763092041, 0.5727472305297852, 0.5652220249176025, 0.5623341798782349, 0.556470513343811, 0.5415245890617371, 0.52900630235672, 0.5285420417785645, 0.5255148410797119, 0.5242068767547607, 0.5224147439002991, 0.515010416507721, 0.5127397179603577, 0.511553168296814, 0.5096873044967651, 0.5003083348274231, 0.4946584105491638, 0.4914248287677765, 0.49073326587677, 0.48976945877075195, 0.4820975661277771, 0.4756416082382202, 0.47335565090179443, 0.47298136353492737];tea room;Shop focused on selling tea.;dining drinking > cafe coffee tea house > tea room;tea room;1;1;shop;shop > food beverages
tortilla;shop > food beverages > tortilla;Shop focused on selling tortillas.;['food beverage retail', 'gourmet store', 'grocery store', 'farmers market', 'burrito restaurant', 'supermarket', 'beer store', 'clothing store', 'imported food store', 'fruit vegetable store', 'liquor store', 'sausage store', 'candy store', 'donut shop', 'bakery', 'kuruyemisci shop', 'kosher store', 'retail', 'childrens clothing store', 'baby store', 'wine store', 'fashion accessories store', 'bagel shop', 'womens store', 'cheese store', 'fashion retail', 'market', 'convenience store', 'cidery', 'miscellaneous store'];[0.5797045230865479, 0.5792922973632812, 0.5715876817703247, 0.5614501237869263, 0.5569542646408081, 0.5459632873535156, 0.535827100276947, 0.535619854927063, 0.5339398980140686, 0.5291844010353088, 0.5260308980941772, 0.5116660594940186, 0.5092416405677795, 0.5054311752319336, 0.5038203597068787, 0.5029760599136353, 0.49987363815307617, 0.4975523054599762, 0.4937259554862976, 0.49117743968963623, 0.49076658487319946, 0.4881822168827057, 0.4846522808074951, 0.48354819416999817, 0.4823833703994751, 0.4805319309234619, 0.4800557494163513, 0.47946903109550476, 0.479017972946167, 0.475664883852005];grocery store;Shop focused on selling tortillas.;retail > food beverage retail;food beverage retail;0;1;shop;shop > food beverages
water;shop > food beverages > water;Shop focused on selling drinking water.;['beer store', 'grocery store', 'liquor store', 'wine store', 'supermarket', 'farmers market', 'gourmet store', 'food beverage retail', 'food stand', 'dairy store', 'fish market', 'fruit vegetable store', 'imported food store', 'water treatment service', 'floating market', 'cheese store', 'bagel shop', 'sausage store', 'tursucu shop', 'candy store', 'meat seafood store', 'bakery', 'food distribution center', 'swimming pool supply store', 'kosher store', 'night market', 'retail', 'butcher', 'smoothie shop', 'donut shop'];[0.7180153727531433, 0.7114317417144775, 0.705174446105957, 0.6694888472557068, 0.6615334749221802, 0.6607024669647217, 0.6452147960662842, 0.6449213027954102, 0.6073205471038818, 0.5879824757575989, 0.5877504944801331, 0.5792953372001648, 0.5734432339668274, 0.5666588544845581, 0.5664445757865906, 0.5616878271102905, 0.5555768013000488, 0.5517016649246216, 0.5384417772293091, 0.5382009148597717, 0.5356085300445557, 0.5343286991119385, 0.5310908555984497, 0.5276343822479248, 0.5258387327194214, 0.5226138830184937, 0.5202188491821289, 0.5155128240585327, 0.5122582912445068, 0.5094744563102722];grocery store;Shop focused on selling drinking water.;retail > food beverage retail;food beverage retail;0;1;shop;shop > food beverages
wine;shop > food beverages > wine;Shop selling wine.;['wine store', 'winery', 'liquor store', 'beer store', 'vineyard', 'cidery', 'grocery store', 'cheese store', 'dairy store', 'wine bar', 'apple wine pub', 'farmers market', 'gourmet store', 'supermarket', 'food stand', 'food beverage retail', 'meadery', 'tursucu shop', 'distillery', 'night market', 'candy store', 'champagne bar', 'dessert shop', 'butcher', 'clothing store', 'housewares store', 'indian sweet shop', 'imported food store', 'retail', 'donut shop'];[0.8753108382225037, 0.7536900043487549, 0.721122145652771, 0.6711685657501221, 0.6253436803817749, 0.6112139225006104, 0.6057697534561157, 0.5824565291404724, 0.576639711856842, 0.5718433856964111, 0.5616140365600586, 0.5592122077941895, 0.552118718624115, 0.5446910858154297, 0.5427250266075134, 0.5319790840148926, 0.5296582579612732, 0.5246546268463135, 0.5188590884208679, 0.5156813859939575, 0.5143425464630127, 0.5135163068771362, 0.5102198719978333, 0.5085421800613403, 0.5078923106193542, 0.5040266513824463, 0.5037108659744263, 0.5016290545463562, 0.49847376346588135, 0.4956955313682556];wine store;Shop selling wine.;retail > food beverage retail > wine store;wine store;1;1;shop;shop > food beverages
department store;shop > general store department store mall > department store;A single large store – often multiple storeys high – selling a large variety of goods (see also shop=mall);['department store', 'shopping mall', 'big box store', 'warehouse wholesale store', 'miscellaneous store', 'supermarket', 'shopping plaza', 'clothing store', 'housewares store', 'convenience store', 'mens store', 'gourmet store', 'boutique', 'warehouse', 'outlet mall', 'shoe store', 'fashion accessories store', 'wholesaler', 'luggage store', 'grocery store', 'packaging supply store', 'womens store', 'gun store', 'carpet store', 'childrens clothing store', 'electronics store', 'market', 'adult store', 'surf store', 'retail'];[0.760701596736908, 0.7248057126998901, 0.7048280239105225, 0.6769875288009644, 0.6654424071311951, 0.6456508636474609, 0.6269952654838562, 0.625601589679718, 0.6147958040237427, 0.6123268604278564, 0.6051949262619019, 0.5995279550552368, 0.582298994064331, 0.5819177627563477, 0.5810675024986267, 0.5666816234588623, 0.5644148588180542, 0.5629888772964478, 0.5620698928833008, 0.5607978105545044, 0.5607098340988159, 0.5601216554641724, 0.5574970245361328, 0.5540095567703247, 0.5530197024345398, 0.5530102252960205, 0.5522188544273376, 0.5499207973480225, 0.5473880767822266, 0.5460569858551025];department store;A single large store �?? often multiple storeys high �?? selling a large variety of goods (see also shop=mall);retail > department store;department store;1;1;shop;shop > general store department store mall
general;shop > general store department store mall > general;A store that carries a general line of merchandise. (see also shop=convenience if it sells food).;['department store', 'grocery store', 'supermarket', 'gourmet store', 'food beverage retail', 'miscellaneous store', 'housewares store', 'mens store', 'clothing store', 'pet supplies store', 'imported food store', 'drugstore', 'kuruyemisci shop', 'fruit vegetable store', 'big box store', 'gun store', 'health food store', 'hardware store', 'outlet mall', 'candy store', 'kitchen supply store', 'convenience store', 'shopping plaza', 'retail', 'garden center', 'meat seafood store', 'food distribution center', 'chocolate store', 'packaging supply store', 'boutique'];[0.6634229421615601, 0.6402572393417358, 0.6373031139373779, 0.6356306076049805, 0.6239211559295654, 0.6019690632820129, 0.5927140712738037, 0.5910842418670654, 0.5816324353218079, 0.574134111404419, 0.5729010701179504, 0.5701338648796082, 0.56705641746521, 0.5663204193115234, 0.564345121383667, 0.5597248077392578, 0.5590946674346924, 0.5571296215057373, 0.551790714263916, 0.5484861135482788, 0.5460386872291565, 0.5447479486465454, 0.5436623096466064, 0.541160523891449, 0.5383029580116272, 0.5344399809837341, 0.5333932042121887, 0.5331757068634033, 0.5317121148109436, 0.5311431884765625];department store;A store that carries a general line of merchandise. (see also shop=convenience if it sells food).;retail > department store;department store;1;1;shop;shop > general store department store mall
kiosk;shop > general store department store mall > kiosk;A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.;['convenience store', 'newsstand', 'tobacco store', 'candy store', 'department store', 'smoke shop', 'newsagent', 'vape store', 'supermarket', 'garden center', 'luggage store', 'outlet mall', 'fruit vegetable store', 'grocery store', 'moped dealership', 'fashion accessories store', 'mens store', 'stationery store', 'kuruyemisci shop', 'shoe store', 'gun store', 'vintage thrift store', 'surf store', 'miscellaneous store', 'baby store', 'office supply store', 'shopping plaza', 'clothing store', 'packaging supply store', 'baseball store'];[0.6145389676094055, 0.5988836288452148, 0.5753657817840576, 0.5733179450035095, 0.5710099935531616, 0.5671983957290649, 0.5607390403747559, 0.5529751777648926, 0.5518931150436401, 0.5442397594451904, 0.5375471115112305, 0.5374157428741455, 0.537124514579773, 0.5345092415809631, 0.5330829620361328, 0.5300154685974121, 0.5289566516876221, 0.52693110704422, 0.5261006355285645, 0.5255885124206543, 0.5252671241760254, 0.52195143699646, 0.5201520919799805, 0.5196776986122131, 0.5174636840820312, 0.5169562101364136, 0.5163365006446838, 0.5139426589012146, 0.513421356678009, 0.5110369920730591];newsstand;A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.;retail > newsstand;newsstand;1;1;shop;shop > general store department store mall
mall;shop > general store department store mall > mall;A shopping mall – multiple stores under one roof (also known as a shopping centre);['shopping mall', 'shopping plaza', 'outlet mall', 'department store', 'big box store', 'miscellaneous store', 'clothing store', 'supermarket', 'mens store', 'boutique', 'cannabis store', 'batik store', 'womens store', 'childrens clothing store', 'market', 'beer store', 'grocery store', 'gourmet store', 'convenience store', 'mobile phone store', 'electronics store', 'gun store', 'adult store', 'surf store', 'liquor store', 'warehouse wholesale store', 'toy store', 'skate store', 'garden center', 'luggage store'];[0.7026098966598511, 0.6403278112411499, 0.6222862005233765, 0.5116211175918579, 0.5073084831237793, 0.5061030983924866, 0.4954899251461029, 0.4778652787208557, 0.47722333669662476, 0.4561741054058075, 0.4381124973297119, 0.43522968888282776, 0.42892366647720337, 0.4275776743888855, 0.4267891049385071, 0.4265992343425751, 0.4247095584869385, 0.4221448302268982, 0.4204936623573303, 0.41866639256477356, 0.41359758377075195, 0.4122682809829712, 0.41016942262649536, 0.40949320793151855, 0.40944918990135193, 0.4088592529296875, 0.4084126651287079, 0.4028765857219696, 0.4011920094490051, 0.4011763334274292];shopping mall;A shopping mall �?? multiple stores under one roof (also known as a shopping centre);retail > shopping mall;shopping mall;1;1;shop;shop > general store department store mall
supermarket;shop > general store department store mall > supermarket;Supermarket – a large store with groceries and other items;['supermarket', 'shopping mall', 'department store', 'grocery store', 'big box store', 'shopping plaza', 'fruit vegetable store', 'convenience store', 'miscellaneous store', 'gourmet store', 'outlet mall', 'warehouse wholesale store', 'candy store', 'kuruyemisci shop', 'food beverage retail', 'pet supplies store', 'housewares store', 'imported food store', 'clothing store', 'drugstore', 'mens store', 'chocolate store', 'gift store', 'luggage store', 'packaging supply store', 'kitchen supply store', 'carpet store', 'cheese store', 'toy store', 'baby store'];[0.7885607481002808, 0.6949712038040161, 0.6775374412536621, 0.647369384765625, 0.6284191608428955, 0.6188101768493652, 0.6094644069671631, 0.6087812185287476, 0.6073881387710571, 0.6005359292030334, 0.5985934734344482, 0.5907037258148193, 0.5815365314483643, 0.5657788515090942, 0.5649524331092834, 0.5615503191947937, 0.5581265091896057, 0.5513941645622253, 0.5467374324798584, 0.5454954504966736, 0.5450321435928345, 0.5301403999328613, 0.5280733108520508, 0.5280513763427734, 0.5256429314613342, 0.525019109249115, 0.5243908166885376, 0.5229324698448181, 0.5225629806518555, 0.5221908688545227];supermarket;Supermarket �?? a large store with groceries and other items;retail > food beverage retail > supermarket;supermarket;1;1;shop;shop > general store department store mall
wholesale;shop > general store department store mall > wholesale;Wholesale/warehouse club or cash and carry – a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.;['warehouse wholesale store', 'wholesaler', 'department store', 'miscellaneous store', 'big box store', 'clothing store', 'shopping plaza', 'packaging supply store', 'mens store', 'luggage store', 'supermarket', 'retail', 'surf store', 'warehouse', 'gun store', 'grocery store', 'vintage thrift store', 'convenience store', 'fashion accessories store', 'arts crafts store', 'childrens clothing store', 'liquor store', 'candy store', 'computers electronics retail', 'womens store', 'motorsports store', 'sporting goods retail', 'outlet mall', 'outlet store', 'market'];[0.7545304298400879, 0.6779493093490601, 0.6352388858795166, 0.6058998107910156, 0.5997512936592102, 0.5908880233764648, 0.5900306701660156, 0.5859074592590332, 0.5809279084205627, 0.5760613679885864, 0.5749022960662842, 0.5648130774497986, 0.5533571243286133, 0.5511723756790161, 0.550225555896759, 0.5497431755065918, 0.5493022799491882, 0.5472152233123779, 0.5370696783065796, 0.5337100028991699, 0.53300940990448, 0.5291081666946411, 0.5275490283966064, 0.5268497467041016, 0.5263046026229858, 0.5237236618995667, 0.5218697190284729, 0.5193980932235718, 0.5145745873451233, 0.5142031311988831];warehouse wholesale store;Wholesale/warehouse club or cash and carry �?? a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.;retail > warehouse wholesale store;warehouse wholesale store;1;1;shop;shop > general store department store mall
baby goods;shop > clothing shoes accessories > baby goods;Shop focused on selling objects for babies (clothes, prams, cots, toys).;['baby store', 'toy store', 'fashion retail', 'childrens clothing store', 'fashion accessories store', 'dance store', 'luggage store', 'boutique', 'running store', 'hobby store', 'mens store', 'womens store', 'bridal store', 'textiles store', 'skate store', 'soccer store', 'clothing store', 'pet supplies store', 'bicycle store', 'arts crafts store', 'gun store', 'department store', 'surf store', 'miscellaneous store', 'shoe store', 'ski store', 'gift store', 'mobile phone store', 'tennis store', 'leather goods store'];[0.7615958452224731, 0.6958257555961609, 0.6874856948852539, 0.6754971146583557, 0.6568905711174011, 0.6470774412155151, 0.618928074836731, 0.6170627474784851, 0.6158638000488281, 0.6131472587585449, 0.610908031463623, 0.6101148128509521, 0.6081956624984741, 0.6037559509277344, 0.5904378890991211, 0.5898110866546631, 0.5877429246902466, 0.5843311548233032, 0.5795930624008179, 0.5789144039154053, 0.5787308812141418, 0.5781362056732178, 0.5750327110290527, 0.5684199929237366, 0.5625033378601074, 0.5512645244598389, 0.5449956655502319, 0.5403459072113037, 0.5401502847671509, 0.5389864444732666];baby store;Shop focused on selling objects for babies (clothes, prams, cots, toys).;retail > baby store;baby store;1;1;shop;shop > clothing shoes accessories
bag;shop > clothing shoes accessories > bag;Shop focused on selling bags.;['leather goods store', 'luggage store', 'fashion retail', 'fashion accessories store', 'shoe store', 'mens store', 'dance store', 'clothing store', 'running store', 'womens store', 'boutique', 'ski store', 'bagel shop', 'bicycle store', 'bridal store', 'surf store', 'soccer store', 'skate store', 'department store', 'lingerie store', 'dive store', 'hunting supply store', 'gun store', 'vintage thrift store', 'childrens clothing store', 'outdoor supply store', 'textiles store', 'sporting goods retail', 'packaging supply store', 'tennis store'];[0.7942913174629211, 0.7881022095680237, 0.7836952209472656, 0.7623482942581177, 0.6905069351196289, 0.6720527410507202, 0.671518087387085, 0.6705141067504883, 0.6586161851882935, 0.6493395566940308, 0.6263810396194458, 0.6233270764350891, 0.6212401390075684, 0.6113239526748657, 0.6078653335571289, 0.6078545451164246, 0.6076252460479736, 0.6015742421150208, 0.5963805317878723, 0.5860506892204285, 0.5846041440963745, 0.5835947394371033, 0.5834634304046631, 0.5789188146591187, 0.5782394409179688, 0.5756380558013916, 0.5709225535392761, 0.5695380568504333, 0.5684260129928589, 0.5622913837432861];fashion accessories store;Shop focused on selling bags.;retail > luggage store;luggage store;0;0;shop;shop > clothing shoes accessories
boutique;shop > clothing shoes accessories > boutique;A small shopping outlet, especially one that specializes in elite and fashionable items;['boutique', 'fashion retail', 'running store', 'dance store', 'shoe store', 'womens store', 'fashion accessories store', 'mens store', 'department store', 'clothing store', 'bridal store', 'luggage store', 'skate store', 'outlet mall', 'soccer store', 'golf store', 'dive store', 'surf store', 'convenience store', 'leather goods store', 'miscellaneous store', 'lingerie store', 'childrens clothing store', 'tennis store', 'gun store', 'sporting goods retail', 'vintage thrift store', 'sunglasses store', 'bicycle store', 'gourmet store'];[0.8253388404846191, 0.7970004081726074, 0.7084676027297974, 0.6869421601295471, 0.6753826141357422, 0.6712791919708252, 0.6588014960289001, 0.6472488045692444, 0.6444414854049683, 0.6336946487426758, 0.6089694499969482, 0.5977104306221008, 0.5954108834266663, 0.5734908580780029, 0.568151593208313, 0.5654178857803345, 0.5616631507873535, 0.5613314509391785, 0.5579655170440674, 0.5548338890075684, 0.5507087111473083, 0.550133228302002, 0.5472004413604736, 0.5450231432914734, 0.5449289679527283, 0.5436197519302368, 0.5387729406356812, 0.5386778116226196, 0.5381888151168823, 0.5369464755058289];boutique;A small shopping outlet, especially one that specializes in elite and fashionable items;retail > boutique;boutique;1;1;shop;shop > clothing shoes accessories
clothes;shop > clothing shoes accessories > clothes;Shop focused on selling clothes and/or underwear (other related value in use is fashion);['fashion retail', 'boutique', 'womens store', 'dance store', 'clothing store', 'shoe store', 'mens store', 'running store', 'fashion accessories store', 'bridal store', 'leather goods store', 'soccer store', 'skate store', 'lingerie store', 'textiles store', 'ski store', 'sporting goods retail', 'department store', 'luggage store', 'childrens clothing store', 'surf store', 'batik store', 'bicycle store', 'tennis store', 'miscellaneous store', 'gun store', 'dive store', 'vintage thrift store', 'hunting supply store', 'hobby store'];[0.7922425866127014, 0.7012884616851807, 0.6962103247642517, 0.6954668760299683, 0.6840254664421082, 0.6752361059188843, 0.6731671094894409, 0.6679229736328125, 0.6666398644447327, 0.6366442441940308, 0.6320846080780029, 0.6310842037200928, 0.6255090236663818, 0.6239398717880249, 0.6115334630012512, 0.6100136637687683, 0.6050195097923279, 0.6043579578399658, 0.6030685305595398, 0.5973252058029175, 0.5923688411712646, 0.5901209712028503, 0.5855557918548584, 0.5802569389343262, 0.5637533664703369, 0.55924391746521, 0.5517938137054443, 0.5469003915786743, 0.542517364025116, 0.5392966270446777];clothing store;Shop focused on selling clothes and/or underwear (other related value in use is fashion);retail > fashion retail > clothing store;clothing store;1;1;shop;shop > clothing shoes accessories
fabric;shop > clothing shoes accessories > fabric;Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.;['fashion retail', 'textiles store', 'dance store', 'clothing store', 'running store', 'boutique', 'shoe store', 'bridal store', 'womens store', 'mens store', 'fashion accessories store', 'hobby store', 'leather goods store', 'arts crafts store', 'batik store', 'soccer store', 'knitting store', 'department store', 'tennis store', 'skate store', 'ski store', 'construction supplies store', 'bicycle store', 'luggage store', 'childrens clothing store', 'surf store', 'lingerie store', 'sporting goods retail', 'gun store', 'sunglasses store'];[0.797897219657898, 0.7617204785346985, 0.7096439599990845, 0.6832330226898193, 0.6777583956718445, 0.6674121618270874, 0.6615363359451294, 0.6603332757949829, 0.6558099389076233, 0.6556410193443298, 0.6529785990715027, 0.6390656232833862, 0.6331990957260132, 0.6209707260131836, 0.6066169738769531, 0.6041393280029297, 0.5995643138885498, 0.5984916687011719, 0.5910578966140747, 0.5889368057250977, 0.5871574282646179, 0.5870363116264343, 0.576977550983429, 0.5701173543930054, 0.5683161020278931, 0.5598479509353638, 0.5504388809204102, 0.5492469072341919, 0.5374449491500854, 0.5362968444824219];textiles store;Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.;retail > textiles store;textiles store;1;1;shop;shop > clothing shoes accessories
fashion accessories;shop > clothing shoes accessories > fashion accessories;Shop focused on selling fashion accessories.;['fashion retail', 'dance store', 'womens store', 'boutique', 'shoe store', 'mens store', 'clothing store', 'running store', 'fashion accessories store', 'bridal store', 'soccer store', 'luggage store', 'skate store', 'leather goods store', 'department store', 'textiles store', 'childrens clothing store', 'sunglasses store', 'surf store', 'gun store', 'lingerie store', 'tennis store', 'sporting goods retail', 'bicycle store', 'ski store', 'batik store', 'mobile phone store', 'dive store', 'hobby store', 'swimwear store'];[0.9146572947502136, 0.7887171506881714, 0.7761493921279907, 0.7663729190826416, 0.7507234215736389, 0.7428311109542847, 0.7354094982147217, 0.7351526021957397, 0.7336132526397705, 0.6972987651824951, 0.6506185531616211, 0.6468701362609863, 0.6423708200454712, 0.6410201787948608, 0.6402402520179749, 0.6311910152435303, 0.630570650100708, 0.6295921206474304, 0.6272965669631958, 0.6191173791885376, 0.6113631725311279, 0.6074214577674866, 0.6051822900772095, 0.5983082056045532, 0.5958163142204285, 0.5859527587890625, 0.5760433673858643, 0.5743918418884277, 0.5726335048675537, 0.5715392231941223];fashion accessories store;Shop focused on selling fashion accessories.;retail > fashion retail > fashion accessories store;fashion accessories store;1;1;shop;shop > clothing shoes accessories
jewelry;shop > clothing shoes accessories > jewelry;Jewellers shops.;['fashion retail', 'dance store', 'running store', 'shoe store', 'fashion accessories store', 'boutique', 'womens store', 'mens store', 'jewelry store', 'leather goods store', 'clothing store', 'bridal store', 'skate store', 'tennis store', 'luggage store', 'bicycle store', 'sunglasses store', 'department store', 'gun store', 'textiles store', 'soccer store', 'arts crafts store', 'ski store', 'dive store', 'surf store', 'lingerie store', 'sporting goods retail', 'childrens clothing store', 'batik store', 'gift store'];[0.8293092250823975, 0.7770516872406006, 0.7441533207893372, 0.7375630140304565, 0.6897337436676025, 0.6891803741455078, 0.6673411130905151, 0.6586165428161621, 0.639594554901123, 0.6393914222717285, 0.638007402420044, 0.6314036846160889, 0.6272854804992676, 0.6122021675109863, 0.6044321060180664, 0.6020399332046509, 0.598339319229126, 0.5925507545471191, 0.5842354893684387, 0.5836387872695923, 0.5796594619750977, 0.5774139165878296, 0.569693922996521, 0.5686309337615967, 0.566291332244873, 0.562250018119812, 0.5619381666183472, 0.5491107702255249, 0.5477094650268555, 0.5460864901542664];jewelry store;Jewellers shops.;retail > fashion retail > jewelry store;jewelry store;1;1;shop;shop > clothing shoes accessories
leather;shop > clothing shoes accessories > leather;Shop focused on selling products made out of leather.;['leather goods store', 'fashion retail', 'leather supplier', 'shoe store', 'running store', 'dance store', 'tennis store', 'skate store', 'fashion accessories store', 'mens store', 'womens store', 'clothing store', 'soccer store', 'boutique', 'sporting goods retail', 'ski store', 'textiles store', 'surf store', 'hobby store', 'luggage store', 'lingerie store', 'sunglasses store', 'hunting supply store', 'golf store', 'baseball store', 'gun store', 'shoe repair service', 'department store', 'dive store', 'rubber supplier'];[0.8137955665588379, 0.7452441453933716, 0.6867257356643677, 0.6636320948600769, 0.6550095081329346, 0.6337442398071289, 0.6002447605133057, 0.5793296098709106, 0.5768819451332092, 0.5766022801399231, 0.5758862495422363, 0.57550048828125, 0.5754883289337158, 0.5743046998977661, 0.5646746158599854, 0.5641496181488037, 0.5594403743743896, 0.5563709735870361, 0.5408308506011963, 0.5371680855751038, 0.5346527099609375, 0.5338197350502014, 0.533781886100769, 0.5308703780174255, 0.5284440517425537, 0.5205066204071045, 0.5192316174507141, 0.51650470495224, 0.5016250610351562, 0.5002416372299194];leather goods store;Shop focused on selling products made out of leather.;retail > leather goods store;leather goods store;1;1;shop;shop > clothing shoes accessories
sewing;shop > clothing shoes accessories > sewing;A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.);['knitting store', 'textiles store', 'fashion retail', 'dance store', 'running store', 'mens store', 'tennis store', 'arts crafts store', 'shoe store', 'hobby store', 'bridal store', 'fashion accessories store', 'bicycle store', 'ski store', 'womens store', 'hardware store', 'golf store', 'clothing store', 'boutique', 'gun store', 'camera store', 'construction supplies store', 'hunting supply store', 'skate store', 'luggage store', 'soccer store', 'department store', 'dive store', 'vintage thrift store', 'batik store'];[0.7806949615478516, 0.7340547442436218, 0.6877506375312805, 0.6490692496299744, 0.6176503300666809, 0.585753321647644, 0.5812555551528931, 0.5763211846351624, 0.5670031905174255, 0.5575713515281677, 0.5553745627403259, 0.5535427331924438, 0.5495251417160034, 0.5484494566917419, 0.5468379855155945, 0.5456209778785706, 0.5429776310920715, 0.5407016277313232, 0.5404747724533081, 0.5336418151855469, 0.5321661233901978, 0.5246932506561279, 0.521731972694397, 0.5199986696243286, 0.5185548663139343, 0.5180298686027527, 0.5148949027061462, 0.49800384044647217, 0.49369683861732483, 0.49145054817199707];textiles store;A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.);retail > knitting store;knitting store;0;0;shop;shop > clothing shoes accessories
shoes;shop > clothing shoes accessories > shoes;Shop focused on selling shoes.;['fashion retail', 'shoe store', 'dance store', 'running store', 'womens store', 'mens store', 'clothing store', 'fashion accessories store', 'leather goods store', 'boutique', 'skate store', 'luggage store', 'soccer store', 'bridal store', 'department store', 'sunglasses store', 'ski store', 'gun store', 'surf store', 'childrens clothing store', 'sporting goods retail', 'bicycle store', 'tennis store', 'motorsports store', 'textiles store', 'dive store', 'hunting supply store', 'miscellaneous store', 'video games store', 'lingerie store'];[0.9000160694122314, 0.8275854587554932, 0.8013228178024292, 0.7682802677154541, 0.722049355506897, 0.72107994556427, 0.7162136435508728, 0.6943684816360474, 0.6812579035758972, 0.6747655868530273, 0.663594126701355, 0.652424156665802, 0.6469241976737976, 0.6428031921386719, 0.6390529870986938, 0.6318049430847168, 0.6294388175010681, 0.6230912804603577, 0.6190768480300903, 0.615485668182373, 0.6101316809654236, 0.6078566908836365, 0.6057406663894653, 0.6045206785202026, 0.6003062129020691, 0.5896450281143188, 0.5823972225189209, 0.5820784568786621, 0.5765242576599121, 0.5762168169021606];shoe store;Shop focused on selling shoes.;retail > fashion retail > shoe store;shoe store;1;1;shop;shop > clothing shoes accessories
shoe repair;shop > clothing shoes accessories > shoe repair;Shop focused on repairing shoes.;['shoe repair service', 'fashion retail', 'running store', 'dance store', 'shoe store', 'tailor', 'skate store', 'mens store', 'boutique', 'leather goods store', 'womens store', 'clothing store', 'fashion accessories store', 'soccer store', 'tire repair shop', 'sunglasses store', 'ski store', 'automotive shop', 'textiles store', 'automotive repair shop', 'hardware store', 'bridal store', 'tennis store', 'dive store', 'department store', 'surf store', 'luggage store', 'sporting goods retail', 'motorsports store', 'gun store'];[0.774742603302002, 0.7570852637290955, 0.6891754269599915, 0.6736228466033936, 0.6711118817329407, 0.5660812854766846, 0.560157060623169, 0.5595272779464722, 0.5559433698654175, 0.550419807434082, 0.5418851375579834, 0.5390263795852661, 0.5268397927284241, 0.5250284671783447, 0.5222532153129578, 0.520392119884491, 0.5114555358886719, 0.5056374073028564, 0.5042446255683899, 0.5033662915229797, 0.5026261210441589, 0.4966888725757599, 0.4966195225715637, 0.4941833019256592, 0.49196553230285645, 0.4866696298122406, 0.48633676767349243, 0.482899010181427, 0.4810105562210083, 0.47994139790534973];shoe repair service;Shop focused on repairing shoes.;business professional services > shoe repair service;shoe repair service;1;1;shop;shop > clothing shoes accessories
tailor;shop > clothing shoes accessories > tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;['tailor', 'shoe repair service', 'fashion retail', 'mens store', 'boutique', 'running store', 'dance store', 'clothing store', 'textiles store', 'shoe store', 'womens store', 'fashion accessories store', 'leather goods store', 'batik store', 'soccer store', 'lingerie store', 'tennis store', 'ski store', 'department store', 'skate store', 'vintage thrift store', 'sunglasses store', 'sporting goods retail', 'golf store', 'swimwear store', 'surf store', 'bridal store', 'dive store', 'automotive shop', 'childrens clothing store'];[0.7614600658416748, 0.6781104803085327, 0.6691644191741943, 0.611892580986023, 0.6106680631637573, 0.5984597206115723, 0.5858962535858154, 0.5839312672615051, 0.5831170082092285, 0.5706336498260498, 0.5616241693496704, 0.5542653799057007, 0.5420393943786621, 0.5366014242172241, 0.5336409211158752, 0.525830090045929, 0.5254082679748535, 0.5250931978225708, 0.5176452994346619, 0.5152484178543091, 0.5148534178733826, 0.5147398114204407, 0.5085523724555969, 0.5061701536178589, 0.5060356855392456, 0.5019839406013489, 0.5004634261131287, 0.48922500014305115, 0.4859820604324341, 0.4830724596977234];tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;business professional services > tailor;tailor;1;1;shop;shop > clothing shoes accessories
